iter	Passed	Remaining
0	257	102712
1	297	59181
2	336	44496
3	360	35646
4	383	30276
5	410	26968
6	436	24524
7	460	22560
8	491	21339
9	517	20201
10	542	19193
11	567	18354
12	591	17610
13	619	17069
14	646	16589
15	669	16062
16	691	15577
17	713	15148
18	739	14819
19	760	14440
20	781	14111
21	802	13786
22	827	13568
23	851	13333
24	871	13065
25	890	12804
26	913	12615
27	930	12368
28	949	12143
29	967	11935
30	984	11719
31	1002	11533
32	1022	11371
33	1046	11262
34	1067	11128
35	1085	10974
36	1105	10846
37	1125	10718
38	1144	10590
39	1162	10462
40	1181	10344
41	1202	10246
42	1221	10137
43	1238	10019
44	1256	9910
45	1276	9823
46	1291	9697
47	1308	9593
48	1325	9494
49	1342	9400
50	1361	9313
51	1376	9210
52	1392	9117
53	1409	9031
54	1425	8944
55	1442	8858
56	1458	8774
57	1473	8686
58	1490	8612
59	1506	8537
60	1523	8469
61	1542	8406
62	1557	8332
63	1574	8266
64	1590	8199
65	1608	8139
66	1624	8074
67	1642	8018
68	1657	7952
69	1674	7892
70	1691	7838
71	1700	7748
72	1715	7683
73	1730	7623
74	1745	7562
75	1792	7641
76	1817	7622
77	1832	7565
78	1847	7505
79	1860	7443
80	1876	7390
81	1892	7337
82	1907	7284
83	1922	7232
84	1937	7181
85	1954	7137
86	1968	7083
87	1987	7045
88	2004	7004
89	2021	6964
90	2045	6946
91	2064	6911
92	2090	6900
93	2109	6867
94	2129	6838
95	2146	6795
96	2167	6772
97	2188	6744
98	2208	6715
99	2227	6682
100	2243	6640
101	2259	6602
102	2274	6559
103	2290	6518
104	2305	6477
105	2321	6438
106	2336	6398
107	2353	6362
108	2368	6323
109	2383	6284
110	2398	6245
111	2414	6209
112	2430	6172
113	2445	6134
114	2459	6095
115	2475	6061
116	2494	6032
117	2513	6006
118	2530	5975
119	2555	5963
120	2584	5959
121	2604	5934
122	2626	5915
123	2645	5888
124	2667	5867
125	2685	5839
126	2701	5806
127	2721	5782
128	2738	5752
129	2755	5721
130	2772	5692
131	2789	5663
132	2805	5632
133	2824	5607
134	2850	5595
135	2870	5571
136	2885	5539
137	2903	5511
138	2923	5489
139	2940	5461
140	2961	5439
141	2971	5398
142	2989	5372
143	3009	5350
144	3027	5323
145	3044	5296
146	3060	5267
147	3076	5238
148	3093	5211
149	3110	5184
150	3128	5158
151	3145	5131
152	3163	5106
