case_id,customer_id,case_priority,case_risk_level,highest_risk_score,alert_count,total_transaction_volume_usd,alert_transaction_volume_usd,customer_risk_rating,customer_type,occupation,annual_income_usd,expected_monthly_volume_usd,pep_flag,sanctions_flag,adverse_media_flag,red_flag_count,red_flag_codes,red_flag_descriptions,top_shap_drivers,primary_alert_type,primary_alert_reason,model_rule_agreement,preliminary_disposition,analyst_disposition,investigation_status,analyst_notes,escalation_required,sar_consideration
AML-CUST000064,CUST000064,P1,CRITICAL,82.5,36,147597.42,142524.01,,,,,,0,0,1,5,RF_ADVERSE_MEDIA | RF_FUNNEL_BEHAVIOR | RF_MULE_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_STRUCTURING,Customer has an adverse-media indicator in the synthetic dataset. | Activity involves multiple origin countries and elevated transaction frequency. | Transaction activity is consistent with the synthetic mule-behavior scenario. | Customer interacted with multiple counterparties. | Multiple transactions observed in the synthetic structuring threshold range.,log_amount | rapid_transaction_indicator | suspicious_transaction_ratio,FUNNEL_ACCOUNT,High rule-engine risk; High ML suspiciousness score; Adverse media indicator,STRONG_AGREEMENT,ESCALATE_FOR_DETAILED_REVIEW,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST000079,CUST000079,P1,CRITICAL,82.5,32,179789.93,174077.19,,,,,,0,0,1,5,RF_ADVERSE_MEDIA | RF_FUNNEL_BEHAVIOR | RF_MULE_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_STRUCTURING,Customer has an adverse-media indicator in the synthetic dataset. | Activity involves multiple origin countries and elevated transaction frequency. | Transaction activity is consistent with the synthetic mule-behavior scenario. | Customer interacted with multiple counterparties. | Multiple transactions observed in the synthetic structuring threshold range.,suspicious_transaction_ratio | log_amount | rapid_movement_ratio,FUNNEL_ACCOUNT,High rule-engine risk; High ML suspiciousness score; Adverse media indicator,STRONG_AGREEMENT,ESCALATE_FOR_DETAILED_REVIEW,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST001186,CUST001186,P1,HIGH,53.5,16,16153.1,16153.1,,,,,,1,1,0,5,RF_FUNNEL_BEHAVIOR | RF_MULE_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_PEP | RF_SANCTIONS,Activity involves multiple origin countries and elevated transaction frequency. | Transaction activity is consistent with the synthetic mule-behavior scenario. | Customer interacted with multiple counterparties. | Customer is marked with a PEP indicator in the synthetic dataset. | Customer has a sanctions indicator in the synthetic dataset.,transaction_hour | international_ratio_24h | channel_transaction_ratio,GENERAL_TRANSACTION_MONITORING,High rule-engine risk; PEP indicator; Sanctions indicator,RULE_HIGH_ML_LOW,ESCALATE_FOR_DETAILED_REVIEW,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST004435,CUST004435,P1,HIGH,53.5,20,9979.51,9979.51,,,,,,1,1,0,4,RF_FUNNEL_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_PEP | RF_SANCTIONS,Activity involves multiple origin countries and elevated transaction frequency. | Customer interacted with multiple counterparties. | Customer is marked with a PEP indicator in the synthetic dataset. | Customer has a sanctions indicator in the synthetic dataset.,transaction_hour | is_night_transaction | log_amount | transaction_month | international_ratio_24h | cash_ratio_24h | amount_vs_customer_average,GENERAL_TRANSACTION_MONITORING,High rule-engine risk; PEP indicator; Sanctions indicator,RULE_HIGH_ML_LOW,ESCALATE_FOR_DETAILED_REVIEW,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST004909,CUST004909,P1,HIGH,53.5,27,16890.98,16890.98,,,,,,0,1,1,4,RF_ADVERSE_MEDIA | RF_FUNNEL_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_SANCTIONS,Customer has an adverse-media indicator in the synthetic dataset. | Activity involves multiple origin countries and elevated transaction frequency. | Customer interacted with multiple counterparties. | Customer has a sanctions indicator in the synthetic dataset.,transaction_hour | is_night_transaction | international_ratio_24h | adverse_media_flag | log_amount | transaction_month,GENERAL_TRANSACTION_MONITORING,High rule-engine risk; Sanctions indicator; Adverse media indicator; Behavioral model drivers: transaction_month | transaction_hour | log_amount,RULE_HIGH_ML_LOW,ESCALATE_FOR_DETAILED_REVIEW,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST001343,CUST001343,P1,HIGH,51.0,29,34296.08,34296.08,,,,,,0,1,0,4,RF_FUNNEL_BEHAVIOR | RF_MULE_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_SANCTIONS,Activity involves multiple origin countries and elevated transaction frequency. | Transaction activity is consistent with the synthetic mule-behavior scenario. | Customer interacted with multiple counterparties. | Customer has a sanctions indicator in the synthetic dataset.,,GENERAL_TRANSACTION_MONITORING,High rule-engine risk; Sanctions indicator,RULE_HIGH_ML_LOW,ESCALATE_FOR_DETAILED_REVIEW,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST002257,CUST002257,P1,HIGH,51.0,25,22890.8,22890.8,,,,,,0,1,0,4,RF_FUNNEL_BEHAVIOR | RF_MULE_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_SANCTIONS,Activity involves multiple origin countries and elevated transaction frequency. | Transaction activity is consistent with the synthetic mule-behavior scenario. | Customer interacted with multiple counterparties. | Customer has a sanctions indicator in the synthetic dataset.,transaction_month | amount_vs_customer_average | customer_volume_share | channel_transaction_ratio | cash_ratio_24h | transaction_hour | is_night_transaction,GENERAL_TRANSACTION_MONITORING,High rule-engine risk; Sanctions indicator,RULE_HIGH_ML_LOW,ESCALATE_FOR_DETAILED_REVIEW,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST002274,CUST002274,P1,HIGH,51.0,27,24626.53,24626.53,,,,,,0,1,0,4,RF_FUNNEL_BEHAVIOR | RF_MULE_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_SANCTIONS,Activity involves multiple origin countries and elevated transaction frequency. | Transaction activity is consistent with the synthetic mule-behavior scenario. | Customer interacted with multiple counterparties. | Customer has a sanctions indicator in the synthetic dataset.,,GENERAL_TRANSACTION_MONITORING,High rule-engine risk; Sanctions indicator,RULE_HIGH_ML_LOW,ESCALATE_FOR_DETAILED_REVIEW,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST002904,CUST002904,P1,HIGH,51.0,23,33555.01,33555.01,,,,,,0,1,0,4,RF_FUNNEL_BEHAVIOR | RF_MULE_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_SANCTIONS,Activity involves multiple origin countries and elevated transaction frequency. | Transaction activity is consistent with the synthetic mule-behavior scenario. | Customer interacted with multiple counterparties. | Customer has a sanctions indicator in the synthetic dataset.,,GENERAL_TRANSACTION_MONITORING,High rule-engine risk; Sanctions indicator,RULE_HIGH_ML_LOW,ESCALATE_FOR_DETAILED_REVIEW,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST000946,CUST000946,P1,MEDIUM,47.5,27,10711.72,10711.72,,,,,,0,1,0,3,RF_FUNNEL_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_SANCTIONS,Activity involves multiple origin countries and elevated transaction frequency. | Customer interacted with multiple counterparties. | Customer has a sanctions indicator in the synthetic dataset.,international_ratio_24h | cash_ratio_24h | is_weekend | is_small_cash_transaction | transactions_24h | transactions_7d,GENERAL_TRANSACTION_MONITORING,High rule-engine risk; Sanctions indicator,RULE_HIGH_ML_LOW,ESCALATE_FOR_DETAILED_REVIEW,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
