customer_id,transaction_count,alert_count,maximum_aml_risk_score,average_aml_risk_score,maximum_ml_score,maximum_rule_score,pep_indicator,sanctions_indicator,adverse_media_indicator,customer_alert_rate,customer_risk_level
CUST000079,43,32,82.49999995751091,49.91275402458534,99.99999989377724,100,0,0,1,0.7441860465116279,CRITICAL
CUST000064,45,36,82.4999998597257,46.61268509489157,99.99999964931425,100,0,0,1,0.8,CRITICAL
CUST000042,51,20,74.99999999756989,36.17156591527174,99.99999999392472,100,0,0,0,0.39215686274509803,HIGH
CUST000041,52,20,74.99999998913921,35.74747457042034,99.999999972848,100,0,0,0,0.38461538461538464,HIGH
CUST000128,46,20,74.99999998808914,35.58439503492815,99.99999997022287,100,0,0,0,0.43478260869565216,HIGH
CUST000152,39,20,74.9999999833972,38.19176870867854,99.99999995849302,100,0,0,0,0.5128205128205128,HIGH
CUST000082,36,20,74.9999999768263,41.569346006139725,99.99999994206574,100,0,0,0,0.5555555555555556,HIGH
CUST000080,42,20,74.99999994569009,39.63333019489494,99.99999986422525,100,0,0,0,0.47619047619047616,HIGH
CUST000126,44,20,74.99999993312002,35.24410751359749,99.99999986911132,100,0,0,0,0.45454545454545453,HIGH
CUST000157,45,21,74.99999991499287,35.999770038177125,99.99999984124064,100,0,0,0,0.4666666666666667,HIGH
CUST000135,40,21,74.99999904349431,39.394280933384735,99.9999995009608,100,0,0,0,0.525,HIGH
CUST000010,42,20,74.99999785358497,41.54744646740448,99.99999463396244,100,0,0,0,0.47619047619047616,HIGH
CUST000048,44,20,74.99999415214694,39.77829246088883,99.99998538036732,100,0,0,0,0.45454545454545453,HIGH
CUST000029,40,21,60.17709273680927,24.867072573868647,80.44273184202318,100,0,0,0,0.525,HIGH
CUST004909,27,27,53.5000000015232,52.78703703725368,1.081557688994818e-08,100,0,1,1,1.0,HIGH
CUST004435,20,20,53.5,50.787500046811275,1.7151592823321782e-06,100,1,1,0,1.0,HIGH
CUST001186,16,16,53.5,51.09375000653375,2.612912195043014e-07,100,1,1,0,1.0,HIGH
CUST001343,29,29,51.00000844793422,45.26724167462757,2.1119835560307195e-05,100,0,1,0,1.0,HIGH
CUST002257,25,25,51.00000000016051,45.47000001827393,1.13152692579005e-06,100,0,1,0,1.0,HIGH
CUST002274,27,27,51.0,45.425925928447725,1.6991268378051887e-07,100,0,1,0,1.0,HIGH
CUST002904,23,23,51.0,46.13043478260942,3.436562010472445e-11,100,0,1,0,1.0,HIGH
CUST000159,42,13,49.499954428996006,18.96082408688512,97.49988607249,100,0,0,0,0.30952380952380953,MEDIUM
CUST000139,48,15,49.0135925671853,19.251068999681415,96.28398141796323,100,0,0,0,0.3125,MEDIUM
CUST001070,15,15,48.2500000000415,36.58333333361563,1.0482129936469276e-08,95,1,0,1,1.0,MEDIUM
CUST002465,22,22,48.25,36.87500001487773,7.974836177514403e-07,95,1,0,1,1.0,MEDIUM
CUST001602,19,19,48.25,36.36842137191469,1.0723929787515157e-05,95,1,0,1,1.0,MEDIUM
CUST000144,39,6,47.76731840851923,16.302344339493672,93.16829602129808,85,0,0,0,0.15384615384615385,MEDIUM
CUST004736,22,22,47.500000019044855,45.511363637544044,4.761214709229085e-08,90,0,1,0,1.0,MEDIUM
CUST000045,51,51,47.5,35.363276510480304,1.31747890594967,100,1,0,0,1.0,MEDIUM
CUST000946,27,27,47.49999999999999,45.36111111115074,2.218907351009938e-09,90,0,1,0,1.0,MEDIUM
CUST002140,22,22,47.49999999999999,45.27272763911867,1.7863143417865818e-05,90,0,1,0,1.0,MEDIUM
CUST003161,22,22,47.49999999999999,45.1136363636639,1.510332241991152e-09,90,0,1,0,1.0,MEDIUM
CUST001003,21,21,47.49999999999999,44.83333333469175,7.102297598531767e-08,90,0,1,0,1.0,MEDIUM
CUST002056,18,18,47.49999999999999,44.48611111141642,8.391519017893232e-09,90,0,1,0,1.0,MEDIUM
CUST001495,17,17,47.49999999999999,45.544117647066564,3.2914447120794107e-10,90,0,1,0,1.0,MEDIUM
CUST002208,17,17,47.49999999999999,45.02941177284922,3.440746754353108e-07,90,0,1,0,1.0,MEDIUM
CUST004014,17,17,47.49999999999999,45.13235299007484,1.248114983537747e-06,90,0,1,0,1.0,MEDIUM
CUST003058,16,16,47.49999999999999,44.98437501535338,2.483838740099246e-07,90,0,1,0,1.0,MEDIUM
CUST003780,19,19,45.750000211135415,44.73684211731181,5.278385438972587e-07,85,0,1,0,1.0,MEDIUM
CUST003038,24,24,45.75000006715772,28.39583334620454,4.888411048308851e-07,95,1,0,0,1.0,MEDIUM
CUST001440,20,20,45.750000004829,44.875000033030034,1.6394096282972075e-06,85,0,1,0,1.0,MEDIUM
CUST000756,38,38,45.75,28.526318445196537,0.00025213804635745076,95,1,0,0,1.0,MEDIUM
CUST000607,20,20,45.74999999999999,44.87500000006613,1.7194679784920363e-09,85,0,1,0,1.0,MEDIUM
CUST002782,30,30,43.99999999999999,28.366666671851917,3.8850113349405086e-07,90,1,0,0,1.0,MEDIUM
CUST004328,21,21,43.99999999999999,28.583333336006575,7.091249881233845e-08,90,1,0,0,1.0,MEDIUM
CUST000030,44,38,42.5,33.03523250853317,0.12531209796485002,100,0,0,1,0.8636363636363636,MEDIUM
CUST000060,45,35,42.5,31.71512315951316,27.77186762721751,100,0,0,1,0.7777777777777778,MEDIUM
CUST000097,43,33,42.5,32.69186550801431,0.000541327724700597,100,0,0,1,0.7674418604651163,MEDIUM
CUST000062,40,31,42.5,31.253979003072725,5.37657716748821,100,0,0,1,0.775,MEDIUM
CUST000081,38,30,42.5,30.572402468158703,0.003234475077134428,100,0,0,1,0.7894736842105263,MEDIUM
CUST002926,21,14,42.5,25.41666667153934,2.4833257873886126e-07,100,0,0,1,0.6666666666666666,MEDIUM
CUST000046,48,20,42.120211353201945,21.184878318865326,79.05052838300486,100,0,0,0,0.4166666666666667,MEDIUM
CUST004424,30,13,40.750001570380604,24.650000580142684,3.858898882902738e-05,95,0,0,1,0.43333333333333335,MEDIUM
CUST003118,20,11,40.75,25.43754284529198,0.002141741825445777,95,0,0,1,0.55,MEDIUM
CUST002349,25,25,40.50000000073437,28.040000000055496,1.8359303902898048e-09,80,1,0,0,1.0,MEDIUM
CUST002674,24,24,40.50000000000383,28.32291666777819,6.444998009348884e-08,80,1,0,0,1.0,MEDIUM
CUST003600,32,32,40.5,27.976562642133732,8.677880331849844e-06,80,1,0,0,1.0,MEDIUM
CUST004434,24,24,40.5,28.76041666860857,9.86153836523775e-08,80,1,0,0,1.0,MEDIUM
CUST000257,22,22,40.5,28.40909090946774,1.8115359064377173e-08,80,1,0,0,1.0,MEDIUM
CUST003176,21,21,40.5,28.083333333418306,2.355346004630061e-09,80,1,0,0,1.0,MEDIUM
CUST002635,18,18,40.5,28.833333333347998,6.600035021155506e-10,80,1,0,0,1.0,MEDIUM
