customer_id,total_transactions,total_transaction_volume,average_transaction,maximum_transaction,transaction_std,cash_transactions,international_transactions,suspicious_transactions,rule_alerts,unique_counterparties,unique_origin_countries,unique_destination_countries,average_rule_score,maximum_rule_score,average_red_flags,maximum_red_flags,PEP_flag,sanctions_flag,adverse_media_flag,structuring_events,rapid_movement_events,funnel_behavior,layering_behavior,mule_behavior,target,cash_ratio,international_ratio,suspicious_ratio,rule_alert_ratio,structuring_ratio,rapid_movement_ratio
CUST000001,31,28534.82,920.478064516129,6393.51,1228.9995223525498,10,18,0,31,31,6,8,50.16129032258065,70,3.935483870967742,5,0,0,1,0,0,0,0,0,0,0.3225806451612903,0.5806451612903226,0.0,1.0,0.0,0.0
CUST000002,28,31315.07,1118.3953571428572,12304.22,2458.137350398833,6,18,0,28,28,6,7,35.714285714285715,60,2.9285714285714284,5,0,0,0,0,0,0,0,0,0,0.21428571428571427,0.6428571428571429,0.0,1.0,0.0,0.0
CUST000003,24,10958.81,456.6170833333333,3076.05,712.9754329902574,6,10,0,24,24,5,5,33.333333333333336,40,2.6666666666666665,4,0,0,0,0,0,0,0,0,0,0.25,0.4166666666666667,0.0,1.0,0.0,0.0
CUST000004,27,11850.35,438.90185185185186,2070.11,504.650363930979,5,14,0,27,27,5,7,33.51851851851852,40,2.7037037037037037,4,0,0,0,0,0,0,0,0,0,0.18518518518518517,0.5185185185185185,0.0,1.0,0.0,0.0
CUST000005,26,17229.46,662.6715384615384,4617.64,911.7091258935268,9,9,0,26,26,5,6,33.46153846153846,40,2.6923076923076925,4,0,0,0,0,0,0,0,0,0,0.34615384615384615,0.34615384615384615,0.0,1.0,0.0,0.0
CUST000006,24,14195.51,591.4795833333334,4724.67,1185.731361391262,3,14,0,24,24,8,7,33.541666666666664,40,2.7083333333333335,4,0,0,0,0,0,0,0,0,0,0.125,0.5833333333333334,0.0,1.0,0.0,0.0
CUST000007,20,9580.53,479.02650000000006,3059.5,685.1373205521802,3,9,0,20,20,5,5,33.0,40,2.6,4,0,0,0,0,0,0,0,0,0,0.15,0.45,0.0,1.0,0.0,0.0
CUST000008,20,8212.85,410.64250000000004,1312.0,413.4865027883714,4,8,0,20,20,6,4,33.0,40,2.6,4,0,0,0,0,0,0,0,0,0,0.2,0.4,0.0,1.0,0.0,0.0
CUST000009,25,14150.35,566.014,2348.84,486.95039977565136,1,14,0,25,25,7,6,33.0,35,2.6,3,0,0,0,0,0,0,0,0,0,0.04,0.56,0.0,1.0,0.0,0.0
CUST000010,42,204756.32,4875.150476190476,9902.23,4378.030560882287,22,12,20,42,41,5,7,64.28571428571429,100,4.928571428571429,8,0,0,0,20,19,1,1,0,1,0.5238095238095238,0.2857142857142857,0.47619047619047616,1.0,0.47619047619047616,0.4523809523809524
CUST000011,53,216949.59,4093.3884905660375,9945.94,4299.80204196363,25,12,20,53,53,5,6,59.62264150943396,100,4.867924528301887,9,0,0,0,22,19,1,1,0,1,0.4716981132075472,0.22641509433962265,0.37735849056603776,1.0,0.41509433962264153,0.3584905660377358
CUST000012,46,197902.13,4302.220217391305,9936.25,4474.46761974725,26,13,20,46,46,7,6,61.84782608695652,100,4.782608695652174,8,0,0,0,20,19,1,1,0,1,0.5652173913043478,0.2826086956521739,0.43478260869565216,1.0,0.43478260869565216,0.41304347826086957
CUST000013,47,202374.71,4305.844893617021,9884.04,4273.279366161345,22,8,20,47,47,4,6,60.638297872340424,100,4.553191489361702,8,0,0,0,20,19,1,1,0,1,0.46808510638297873,0.1702127659574468,0.425531914893617,1.0,0.425531914893617,0.40425531914893614
CUST000014,46,204049.31,4435.854565217392,9852.35,4292.278932625525,24,17,20,46,46,6,11,62.82608695652174,100,5.282608695652174,9,0,0,0,20,19,1,1,0,1,0.5217391304347826,0.3695652173913043,0.43478260869565216,1.0,0.43478260869565216,0.41304347826086957
CUST000015,44,204191.11,4640.707045454546,9928.3,4304.101793781747,26,9,20,44,44,5,6,62.84090909090909,100,4.818181818181818,8,0,0,0,20,19,1,1,0,1,0.5909090909090909,0.20454545454545456,0.45454545454545453,1.0,0.45454545454545453,0.4318181818181818
CUST000016,44,204177.06,4640.387727272727,9918.88,4344.8491307287895,26,10,20,44,44,6,3,63.40909090909091,100,4.863636363636363,8,0,0,0,20,19,1,1,0,1,0.5909090909090909,0.22727272727272727,0.45454545454545453,1.0,0.45454545454545453,0.4318181818181818
CUST000017,42,198669.76,4730.232380952381,9893.61,4334.014994541582,21,6,20,42,42,4,2,63.80952380952381,100,5.238095238095238,9,0,0,0,20,19,1,1,0,1,0.5,0.14285714285714285,0.47619047619047616,1.0,0.47619047619047616,0.4523809523809524
CUST000018,44,195249.06,4437.478636363637,9936.24,4453.51259718511,25,12,20,44,44,6,5,63.06818181818182,100,4.863636363636363,8,0,0,0,20,19,1,1,0,1,0.5681818181818182,0.2727272727272727,0.45454545454545453,1.0,0.45454545454545453,0.4318181818181818
CUST000019,41,196518.45,4793.132926829268,9870.8,4421.203445802536,23,7,20,41,40,5,5,64.63414634146342,100,4.902439024390244,8,0,0,0,20,19,1,1,0,1,0.5609756097560976,0.17073170731707318,0.4878048780487805,1.0,0.4878048780487805,0.4634146341463415
CUST000020,50,210948.75,4218.975,9747.67,4154.109613683657,24,14,20,50,50,8,5,59.6,100,4.56,8,0,0,0,20,19,1,1,0,1,0.48,0.28,0.4,1.0,0.4,0.38
CUST000021,41,203418.94,4961.43756097561,9815.14,4405.433652026086,25,10,20,41,41,5,5,66.34146341463415,100,5.097560975609756,8,0,0,0,21,19,1,1,0,1,0.6097560975609756,0.24390243902439024,0.4878048780487805,1.0,0.5121951219512195,0.4634146341463415
CUST000022,43,206438.08,4800.885581395349,9895.48,4320.996300185929,25,11,20,43,43,7,6,64.18604651162791,100,4.930232558139535,8,0,0,0,20,19,1,1,0,1,0.5813953488372093,0.2558139534883721,0.46511627906976744,1.0,0.46511627906976744,0.4418604651162791
CUST000023,50,206369.73,4127.3946000000005,9922.86,4258.4019962250995,27,13,20,50,50,5,8,59.9,100,5.0,9,0,0,0,20,19,1,1,0,1,0.54,0.26,0.4,1.0,0.4,0.38
CUST000024,38,192871.37,5075.562368421052,9679.71,4387.84150993582,25,5,20,38,38,4,4,67.36842105263158,100,5.131578947368421,8,0,0,0,20,19,1,1,1,1,0.6578947368421053,0.13157894736842105,0.5263157894736842,1.0,0.5263157894736842,0.5
CUST000025,45,198368.84,4408.196444444445,9916.03,4432.241481399346,24,11,20,45,45,5,5,62.111111111111114,100,4.7555555555555555,8,0,0,0,20,19,1,1,0,1,0.5333333333333333,0.24444444444444444,0.4444444444444444,1.0,0.4444444444444444,0.4222222222222222
CUST000026,40,191328.69,4783.21725,9928.62,4480.288671464286,23,12,20,40,38,6,8,66.125,100,5.1,8,0,0,0,20,19,1,1,0,1,0.575,0.3,0.5,1.0,0.5,0.475
CUST000027,47,210088.52,4469.968510638298,9939.84,4360.680198694564,24,10,20,47,47,8,6,61.06382978723404,100,4.638297872340425,8,0,0,0,20,19,1,1,0,1,0.5106382978723404,0.2127659574468085,0.425531914893617,1.0,0.425531914893617,0.40425531914893614
CUST000028,44,196018.65,4454.969318181818,9930.35,4328.418114419986,26,11,20,44,44,5,8,63.40909090909091,100,5.318181818181818,9,0,0,0,20,19,1,1,0,1,0.5909090909090909,0.25,0.45454545454545453,1.0,0.45454545454545453,0.4318181818181818
CUST000029,40,217526.33,5438.1582499999995,9913.8,4193.12004974809,23,13,20,40,40,4,5,68.75,100,5.75,9,0,0,0,21,19,1,1,1,1,0.575,0.325,0.5,1.0,0.525,0.475
CUST000030,44,218699.32,4970.439090909091,10310.3,4321.040115420004,27,14,20,44,44,9,6,72.95454545454545,100,6.0,9,0,0,1,20,19,1,1,0,1,0.6136363636363636,0.3181818181818182,0.45454545454545453,1.0,0.45454545454545453,0.4318181818181818
