customer_id,customer_type,state,occupation,annual_income_usd,customer_since,pep_flag,sanctions_flag,adverse_media_flag,expected_monthly_volume_usd,risk_rating
CUST000001,Individual,TX,Lawyer,166539.36,2021-08-07,0,0,1,13749.17,MEDIUM
CUST000002,Business,PA,Lawyer,94395.47,2017-03-26,0,0,0,10145.36,LOW
CUST000003,Individual,GA,Lawyer,53393.31,2023-04-19,0,0,0,6510.28,LOW
CUST000004,Individual,TX,Trader,41485.77,2021-10-18,0,0,0,5551.54,LOW
CUST000005,Individual,NJ,Construction Worker,157105.22,2017-05-06,0,0,0,12886.77,LOW
CUST000006,Individual,FL,Small Business Owner,32541.92,2024-04-11,0,0,0,2291.65,LOW
CUST000007,Individual,OH,Teacher,70102.57,2022-07-21,0,0,0,10369.51,LOW
CUST000008,Business,IL,Construction Worker,348763.62,2020-11-29,0,0,0,18828.34,LOW
CUST000009,Individual,OH,Restaurant Owner,53497.05,2023-06-10,0,0,0,2822.0,LOW
CUST000010,Individual,IL,Student,32814.95,2025-06-27,0,0,0,3754.88,LOW
CUST000011,Individual,GA,Student,23806.07,2024-12-05,0,0,0,1129.77,LOW
CUST000012,Business,OH,Software Engineer,357841.8,2020-07-13,0,0,0,26811.7,LOW
CUST000013,Business,IL,Lawyer,94075.32,2025-07-21,0,0,0,5790.18,LOW
CUST000014,Individual,OH,Consultant,42631.31,2024-05-26,0,0,0,1964.83,LOW
CUST000015,Individual,CO,Lawyer,66323.83,2018-10-06,0,0,0,6464.15,LOW
CUST000016,Individual,TX,Software Engineer,48743.26,2024-12-15,0,0,0,3494.35,LOW
CUST000017,Individual,MA,Accountant,22335.49,2024-01-03,0,0,0,1848.92,LOW
CUST000018,Individual,IL,Construction Worker,125181.47,2023-03-05,0,0,0,6194.34,LOW
CUST000019,Individual,GA,Doctor,76666.62,2018-07-28,0,0,0,9275.38,LOW
CUST000020,Individual,IL,Doctor,118596.57,2025-01-01,0,0,0,7630.39,LOW
CUST000021,Individual,IL,Accountant,75320.02,2024-01-03,0,0,0,5109.69,LOW
CUST000022,Individual,WA,Restaurant Owner,81679.05,2022-07-15,0,0,0,4616.44,LOW
CUST000023,Individual,CO,Doctor,17546.48,2021-07-26,0,0,0,1391.44,LOW
CUST000024,Individual,TX,Construction Worker,135312.8,2023-02-27,0,0,0,11223.8,LOW
CUST000025,Individual,NC,Doctor,36969.26,2024-11-10,0,0,0,3371.91,LOW
CUST000026,Individual,NJ,Lawyer,43668.8,2020-07-31,0,0,0,6373.29,LOW
CUST000027,Individual,NY,Trader,53216.64,2025-07-16,0,0,0,7348.5,LOW
CUST000028,Individual,MA,Accountant,19674.9,2025-05-26,0,0,0,1990.59,LOW
CUST000029,Individual,IL,Teacher,51358.29,2017-05-17,0,0,0,1533.71,LOW
CUST000030,Individual,PA,Small Business Owner,49085.73,2017-05-10,0,0,1,4983.8,MEDIUM
CUST000031,Individual,IL,Small Business Owner,58668.11,2020-05-03,0,0,0,2124.29,LOW
