transaction_id,customer_id,timestamp,amount_usd,transaction_type,channel,origin_country,destination_country,scenario,known_suspicious,rule_risk_score,ml_risk_probability,ml_risk_score,customer_risk_score,cdd_risk_component,final_aml_risk_score,final_aml_risk_level,aml_alert,alert_priority,alert_type,model_rule_agreement,primary_risk_driver,alert_reason,top_positive_shap_features,top_positive_shap_values,top_negative_shap_features,top_negative_shap_values,investigation_recommendation
SCN00790018,CUST000079,2025-10-28 18:00:00,9516.06,P2P_TRANSFER,Online Banking,United States,United States,FUNNEL_ACCOUNT,1,100,0.9999999989377724,99.99999989377724,33.33333333333333,25,82.49999995751091,CRITICAL,1,P1,FUNNEL_ACCOUNT,STRONG_AGREEMENT,RULE_ENGINE,High rule-engine risk; High ML suspiciousness score; Adverse media indicator,,,,,"URGENT INVESTIGATION - Review transaction activity, customer profile, counterparties and relevant KYC/CDD information."
SCN00790013,CUST000079,2025-10-28 13:00:00,9901.27,P2P_TRANSFER,Online Banking,United States,United States,FUNNEL_ACCOUNT,1,100,0.9999999982579864,99.99999982579864,33.33333333333333,25,82.49999993031946,CRITICAL,1,P1,FUNNEL_ACCOUNT,STRONG_AGREEMENT,RULE_ENGINE,High rule-engine risk; High ML suspiciousness score; Adverse media indicator,,,,,"URGENT INVESTIGATION - Review transaction activity, customer profile, counterparties and relevant KYC/CDD information."
SCN00790011,CUST000079,2025-10-28 11:00:00,9805.22,P2P_TRANSFER,Online Banking,United States,United States,FUNNEL_ACCOUNT,1,100,0.999999997335143,99.9999997335143,33.33333333333333,25,82.49999989340571,CRITICAL,1,P1,FUNNEL_ACCOUNT,STRONG_AGREEMENT,RULE_ENGINE,High rule-engine risk; High ML suspiciousness score; Adverse media indicator,,,,,"URGENT INVESTIGATION - Review transaction activity, customer profile, counterparties and relevant KYC/CDD information."
SCN00640017,CUST000064,2025-10-24 17:00:00,8907.5,P2P_TRANSFER,Online Banking,United States,United States,FUNNEL_ACCOUNT,1,100,0.9999999964931424,99.99999964931425,33.33333333333333,25,82.4999998597257,CRITICAL,1,P1,FUNNEL_ACCOUNT,STRONG_AGREEMENT,RULE_ENGINE,High rule-engine risk; High ML suspiciousness score; Adverse media indicator,,,,,"URGENT INVESTIGATION - Review transaction activity, customer profile, counterparties and relevant KYC/CDD information."
SCN00790009,CUST000079,2025-10-28 09:00:00,9793.45,P2P_TRANSFER,Online Banking,United States,United States,FUNNEL_ACCOUNT,1,100,0.9999999961029132,99.99999961029133,33.33333333333333,25,82.49999984411653,CRITICAL,1,P1,FUNNEL_ACCOUNT,STRONG_AGREEMENT,RULE_ENGINE,High rule-engine risk; High ML suspiciousness score; Adverse media indicator,,,,,"URGENT INVESTIGATION - Review transaction activity, customer profile, counterparties and relevant KYC/CDD information."
SCN00640019,CUST000064,2025-10-24 19:00:00,8258.65,P2P_TRANSFER,Online Banking,United States,United States,FUNNEL_ACCOUNT,1,100,0.9999999958783912,99.99999958783911,33.33333333333333,25,82.49999983513564,CRITICAL,1,P1,FUNNEL_ACCOUNT,STRONG_AGREEMENT,RULE_ENGINE,High rule-engine risk; High ML suspiciousness score; Adverse media indicator,,,,,"URGENT INVESTIGATION - Review transaction activity, customer profile, counterparties and relevant KYC/CDD information."
SCN00790002,CUST000079,2025-10-28 02:00:00,9330.06,P2P_TRANSFER,Online Banking,United States,United States,FUNNEL_ACCOUNT,1,100,0.999999994624558,99.9999994624558,33.33333333333333,25,82.49999978498232,CRITICAL,1,P1,FUNNEL_ACCOUNT,STRONG_AGREEMENT,RULE_ENGINE,High rule-engine risk; High ML suspiciousness score; Adverse media indicator,,,,,"URGENT INVESTIGATION - Review transaction activity, customer profile, counterparties and relevant KYC/CDD information."
SCN00790004,CUST000079,2025-10-28 04:00:00,9044.43,P2P_TRANSFER,Online Banking,United States,United States,FUNNEL_ACCOUNT,1,100,0.9999999942868596,99.99999942868595,33.33333333333333,25,82.49999977147439,CRITICAL,1,P1,FUNNEL_ACCOUNT,STRONG_AGREEMENT,RULE_ENGINE,High rule-engine risk; High ML suspiciousness score; Adverse media indicator,,,,,"URGENT INVESTIGATION - Review transaction activity, customer profile, counterparties and relevant KYC/CDD information."
SCN00790016,CUST000079,2025-10-28 16:00:00,10674.89,P2P_TRANSFER,Online Banking,United States,United States,FUNNEL_ACCOUNT,1,100,0.999999993830358,99.9999993830358,33.33333333333333,25,82.49999975321433,CRITICAL,1,P1,FUNNEL_ACCOUNT,STRONG_AGREEMENT,RULE_ENGINE,High rule-engine risk; High ML suspiciousness score; Adverse media indicator,,,,,"URGENT INVESTIGATION - Review transaction activity, customer profile, counterparties and relevant KYC/CDD information."
SCN00790008,CUST000079,2025-10-28 08:00:00,9188.8,P2P_TRANSFER,Online Banking,United States,United States,FUNNEL_ACCOUNT,1,100,0.9999999928678036,99.99999928678037,33.33333333333333,25,82.49999971471215,CRITICAL,1,P1,FUNNEL_ACCOUNT,STRONG_AGREEMENT,RULE_ENGINE,High rule-engine risk; High ML suspiciousness score; Adverse media indicator,,,,,"URGENT INVESTIGATION - Review transaction activity, customer profile, counterparties and relevant KYC/CDD information."
SCN00640001,CUST000064,2025-10-24 01:00:00,9004.8,P2P_TRANSFER,Online Banking,United States,United States,FUNNEL_ACCOUNT,1,100,0.9999999903326972,99.99999903326972,33.33333333333333,25,82.49999961330789,CRITICAL,1,P1,FUNNEL_ACCOUNT,STRONG_AGREEMENT,RULE_ENGINE,High rule-engine risk; High ML suspiciousness score; Adverse media indicator; Behavioral model drivers: log_amount | rapid_transaction_indicator | suspicious_transaction_ratio,log_amount | rapid_transaction_indicator | suspicious_transaction_ratio,7.671741 | 5.711653 | 5.404409,structuring_customer_count | amount_squared | amount_vs_customer_average,-1.472399 | -0.874698 | -0.826450,"URGENT INVESTIGATION - Review transaction activity, customer profile, counterparties and relevant KYC/CDD information."
SCN00790003,CUST000079,2025-10-28 03:00:00,11256.13,P2P_TRANSFER,Online Banking,United States,United States,FUNNEL_ACCOUNT,1,100,0.9999999864714316,99.99999864714316,33.33333333333333,25,82.49999945885727,CRITICAL,1,P1,FUNNEL_ACCOUNT,STRONG_AGREEMENT,RULE_ENGINE,High rule-engine risk; High ML suspiciousness score; Adverse media indicator,,,,,"URGENT INVESTIGATION - Review transaction activity, customer profile, counterparties and relevant KYC/CDD information."
SCN00790001,CUST000079,2025-10-28 01:00:00,10213.57,P2P_TRANSFER,Online Banking,United States,United States,FUNNEL_ACCOUNT,1,100,0.9999999680328217,99.99999680328216,33.33333333333333,25,82.49999872131286,CRITICAL,1,P1,FUNNEL_ACCOUNT,STRONG_AGREEMENT,RULE_ENGINE,High rule-engine risk; High ML suspiciousness score; Adverse media indicator,,,,,"URGENT INVESTIGATION - Review transaction activity, customer profile, counterparties and relevant KYC/CDD information."
