customer_id,transaction_count,total_amount,average_amount,suspicious_transactions
CUST000039,47,718855.74,15294.802978723405,20
CUST000056,52,708832.12,13631.386923076923,20
CUST000052,45,693028.6,15400.635555555555,20
CUST000047,46,680335.99,14789.912826086957,20
CUST000049,38,671001.41,17657.931842105263,20
CUST000038,48,665215.46,13858.655416666666,20
CUST000040,45,649062.82,14423.618222222221,20
CUST000051,41,648506.03,15817.22024390244,20
CUST000048,44,643450.52,14623.875454545456,20
CUST000041,52,640133.09,12310.25173076923,20
CUST000042,51,634128.98,12433.90156862745,20
CUST000043,46,633262.26,13766.570869565217,20
CUST000046,48,631886.03,13164.292291666667,20
CUST000050,46,623488.38,13554.095217391305,20
CUST000036,45,618612.76,13746.950222222222,20
CUST000045,51,608817.96,11937.607058823529,20
CUST000053,41,600806.41,14653.81487804878,20
CUST000055,44,600742.66,13653.242272727273,20
CUST000057,46,593379.61,12899.556739130434,20
CUST000058,42,591183.92,14075.80761904762,20
