customer_id,suspicious_transactions,total_transactions,total_amount
CUST000039,20,47,718855.74
CUST000056,20,52,708832.12
CUST000052,20,45,693028.6
CUST000047,20,46,680335.99
CUST000049,20,38,671001.41
CUST000038,20,48,665215.46
CUST000040,20,45,649062.82
CUST000051,20,41,648506.03
CUST000048,20,44,643450.52
CUST000041,20,52,640133.09
CUST000042,20,51,634128.98
CUST000043,20,46,633262.26
CUST000046,20,48,631886.03
CUST000050,20,46,623488.38
CUST000036,20,45,618612.76
CUST000045,20,51,608817.96
CUST000053,20,41,600806.41
CUST000055,20,44,600742.66
CUST000057,20,46,593379.61
CUST000058,20,42,591183.92
