feature,dtype,missing_values,unique_values,mean,std,min,max
amount_usd,float64,0,80132,1073.5285839024389,2905.844530862191,5.0,50000.0
log_amount,float64,0,80132,5.940513159171415,1.3416269769860456,1.791759469228055,10.819798284210286
amount_squared,float64,0,80132,9596327.408140063,84751363.18887049,25.0,2500000000.0
is_large_transaction,int32,0,2,0.01408130081300813,0.11782669753244641,0.0,1.0
is_very_large_transaction,int32,0,2,0.004073170731707317,0.06369154569086163,0.0,1.0
is_small_cash_transaction,int32,0,2,0.1797967479674797,0.38401963014882257,0.0,1.0
customer_total_transactions,int64,0,46,26.032536585365854,6.525104967900172,10.0,57.0
customer_total_volume,float64,0,4995,33680.322284634145,74761.94553384415,2285.4300000000003,718855.74
customer_average_transaction,float64,0,4999,1073.5285839024389,1622.3932256101464,152.36200000000002,17657.931842105263
customer_max_transaction,float64,0,4986,5885.310238699188,6301.159937555412,666.08,50000.0
customer_min_transaction,float64,0,3472,35.89372170731707,22.33294678740709,5.0,271.6
customer_transaction_std,float64,0,5000,1476.4779400846228,1950.7200127058386,157.33089721076044,17794.433347138907
cash_ratio,float64,0,248,0.18041463414634148,0.08637748666651285,0.0,0.6666666666666666
international_ratio,float64,0,319,0.48584552845528467,0.11447305267338814,0.0975609756097561,0.8947368421052632
suspicious_transaction_ratio,float64,0,22,0.024390243902439025,0.10326674609369171,0.0,0.5714285714285714
rule_alert_ratio,float64,0,10,0.9945040650406504,0.07256810581347199,0.0,1.0
unique_counterparties,int64,0,46,25.964341463414634,6.488165397647144,10.0,57.0
unique_origin_countries,int64,0,12,6.2160975609756095,1.6264150113256783,1.0,12.0
unique_destination_countries,int64,0,12,6.284691056910569,1.647769343130999,1.0,12.0
counterparty_diversity_ratio,float64,0,43,0.997569105691057,0.009732734260759079,0.918918918918919,1.0
amount_vs_customer_average,float64,0,122987,1.0,1.4265619002626853,0.0005605171644675155,22.744924523991642
amount_vs_customer_max,float64,0,117988,0.19925277245366593,0.2583687017628249,0.00012388568352868326,1.0
amount_deviation_from_average,float64,0,122902,-1.7080754155247676e-15,2410.761842039982,-17642.201842105263,47706.53068965517
amount_zscore,float64,0,122987,-5.397669664437753e-19,0.9794679132822768,-1.6031758043229438,5.82019885856903
amount_vs_expected_monthly,float64,0,122986,0.2561556327736893,0.9885259768591325,0.00011087268081583621,41.20250252085434
