customer_id,customer_type,state,occupation,annual_income_usd,customer_since,risk_rating,pep_flag,sanctions_flag,adverse_media_flag,expected_monthly_volume_usd,total_transactions,total_transaction_volume_usd,average_transaction_usd,maximum_transaction_usd,minimum_transaction_usd,cash_transaction_count,international_transaction_count,unique_counterparties,origin_country_count,destination_country_count,alert_count,known_suspicious_count,maximum_risk_score,average_risk_score
CUST000001,,,,,,,0,0,1,,31,28534.820000000003,920.4780645161292,6393.51,8.95,0,0,31,6,8,23,0,32.0,25.056451629301936
CUST000002,,,,,,,0,0,0,,28,31315.07,1118.3953571428572,12304.22,36.05,0,0,28,6,7,0,0,21.0,12.500000073290071
CUST000003,,,,,,,0,0,0,,24,10958.810000000001,456.61708333333337,3076.05,22.75,0,0,24,5,5,0,0,14.0,11.666666692488446
CUST000004,,,,,,,0,0,0,,27,11850.35,438.90185185185186,2070.11,39.97,0,0,27,5,7,0,0,14.000000125140646,11.731481521008506
CUST000005,,,,,,,0,0,0,,26,17229.460000000003,662.6715384615386,4617.64,19.6,0,0,26,5,6,0,0,14.000000000317913,11.711538461641304
CUST000006,,,,,,,0,0,0,,24,14195.51,591.4795833333334,4724.67,12.94,0,0,24,8,7,0,0,14.0,11.739587103449809
CUST000007,,,,,,,0,0,0,,20,9580.53,479.02650000000006,3059.5,39.56,0,0,20,5,5,0,0,14.0,11.55000063765592
CUST000008,,,,,,,0,0,0,,20,8212.85,410.64250000000004,1312.0,17.75,0,0,20,6,4,0,0,14.0,11.550000018724882
CUST000009,,,,,,,0,0,0,,25,14150.349999999999,566.0139999999999,2348.84,18.57,0,0,25,7,6,0,0,12.250000000155056,11.550000038789694
CUST000010,,,,,,,0,0,0,,42,204756.31999999998,4875.150476190475,9902.23,25.25,0,0,41,5,7,20,20,74.99999785358497,41.54744646740447
CUST000011,,,,,,,0,0,0,,53,216949.59,4093.3884905660375,9945.94,25.31,0,0,53,5,6,22,20,35.0,20.88838305226824
CUST000012,,,,,,,0,0,0,,46,197902.13000000006,4302.220217391306,9936.25,18.27,0,0,46,7,6,19,20,35.0,21.646746116321932
CUST000013,,,,,,,0,0,0,,47,202374.71000000002,4305.844893617022,9884.04,40.39,0,0,47,4,6,20,20,35.0,21.657681915055594
CUST000014,,,,,,,0,0,0,,46,204049.31,4435.854565217392,9852.35,13.38,0,0,46,6,11,20,20,35.0,21.995251060591315
CUST000015,,,,,,,0,0,0,,44,204191.11,4640.707045454546,9928.3,34.11,0,0,44,5,6,19,20,35.0,21.994320529119786
