customer_id,red_flag_code,red_flag_description
CUST000001,RF_ADVERSE_MEDIA,Customer has an adverse-media indicator in the synthetic dataset.
CUST000001,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000001,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000001,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000002,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000002,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000002,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000003,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000003,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000004,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000004,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000005,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000005,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000006,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000006,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000007,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000007,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000008,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000008,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000009,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000009,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000010,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000010,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
