customer_id,total_transactions,total_transaction_value,average_transaction_value,maximum_transaction_value,total_red_flags,maximum_rule_score,alert_count,customer_risk_level
CUST000001,31,28534.82,920.478064516129,6393.51,122,70,31,CRITICAL
CUST000002,28,31315.07,1118.3953571428572,12304.22,82,60,28,HIGH
CUST000003,24,10958.81,456.6170833333333,3076.05,64,40,24,MEDIUM
CUST000004,27,11850.35,438.90185185185186,2070.11,73,40,27,MEDIUM
CUST000005,26,17229.46,662.6715384615384,4617.64,70,40,26,MEDIUM
CUST000006,24,14195.51,591.4795833333334,4724.67,65,40,24,MEDIUM
CUST000007,20,9580.53,479.02650000000006,3059.5,52,40,20,MEDIUM
CUST000008,20,8212.85,410.64250000000004,1312.0,52,40,20,MEDIUM
CUST000009,25,14150.35,566.014,2348.84,65,35,25,MEDIUM
CUST000010,42,204756.32,4875.150476190476,9902.23,207,100,42,CRITICAL
CUST000011,53,216949.59,4093.3884905660375,9945.94,258,100,53,CRITICAL
CUST000012,46,197902.13,4302.220217391305,9936.25,220,100,46,CRITICAL
CUST000013,47,202374.71,4305.844893617021,9884.04,214,100,47,CRITICAL
CUST000014,46,204049.31,4435.854565217392,9852.35,243,100,46,CRITICAL
CUST000015,44,204191.11,4640.707045454546,9928.3,212,100,44,CRITICAL
CUST000016,44,204177.06,4640.387727272727,9918.88,214,100,44,CRITICAL
CUST000017,42,198669.76,4730.232380952381,9893.61,220,100,42,CRITICAL
CUST000018,44,195249.06,4437.478636363637,9936.24,214,100,44,CRITICAL
CUST000019,41,196518.45,4793.132926829268,9870.8,201,100,41,CRITICAL
CUST000020,50,210948.75,4218.975,9747.67,228,100,50,CRITICAL
CUST000021,41,203418.94,4961.43756097561,9815.14,209,100,41,CRITICAL
CUST000022,43,206438.08000000002,4800.88558139535,9895.48,212,100,43,CRITICAL
CUST000023,50,206369.73,4127.3946000000005,9922.86,250,100,50,CRITICAL
CUST000024,38,192871.37,5075.562368421052,9679.71,195,100,38,CRITICAL
CUST000025,45,198368.84,4408.196444444445,9916.03,214,100,45,CRITICAL
CUST000026,40,191328.69,4783.21725,9928.62,204,100,40,CRITICAL
CUST000027,47,210088.52,4469.968510638298,9939.84,218,100,47,CRITICAL
CUST000028,44,196018.65,4454.969318181818,9930.35,234,100,44,CRITICAL
CUST000029,40,217526.33,5438.1582499999995,9913.8,230,100,40,CRITICAL
CUST000030,44,218699.32,4970.439090909091,10310.3,264,100,44,CRITICAL
CUST000031,43,206455.95,4801.301162790698,9843.0,229,100,43,CRITICAL
CUST000032,42,192484.05,4582.953571428571,9853.23,232,100,42,CRITICAL
CUST000033,39,196730.7,5044.376923076923,9913.09,201,100,39,CRITICAL
CUST000034,41,194196.7,4736.5048780487805,9942.92,207,100,41,CRITICAL
CUST000035,44,586149.77,13321.585681818182,44380.46,203,100,44,CRITICAL
CUST000036,45,618612.76,13746.950222222222,44994.06,210,100,45,CRITICAL
CUST000037,44,585393.01,13304.386590909091,44499.12,193,100,44,CRITICAL
CUST000038,48,665215.46,13858.655416666666,42194.19,220,100,48,CRITICAL
CUST000039,47,718855.74,15294.802978723405,44851.43,222,100,47,CRITICAL
CUST000040,45,649062.82,14423.618222222221,44059.06,201,100,45,CRITICAL
CUST000041,52,640133.09,12310.25173076923,40680.77,227,100,52,CRITICAL
CUST000042,51,634128.98,12433.90156862745,44846.41,224,100,51,CRITICAL
CUST000043,46,633262.26,13766.570869565217,43104.74,207,100,46,CRITICAL
CUST000044,51,565995.87,11097.958235294118,44019.81,208,100,51,CRITICAL
CUST000045,51,608817.96,11937.607058823529,42231.33,266,100,51,CRITICAL
CUST000046,48,631886.03,13164.292291666667,44362.59,200,100,48,CRITICAL
CUST000047,46,680335.99,14789.912826086957,42951.13,218,100,46,CRITICAL
CUST000048,44,643450.52,14623.875454545456,42621.49,192,100,44,CRITICAL
CUST000049,38,671001.41,17657.931842105263,44273.65,187,100,38,CRITICAL
CUST000050,46,623488.38,13554.095217391305,44125.82,215,100,46,CRITICAL
CUST000051,41,648506.03,15817.22024390244,42841.14,195,100,41,CRITICAL
CUST000052,45,693028.6,15400.635555555555,42963.16,213,100,45,CRITICAL
CUST000053,41,600806.41,14653.81487804878,43653.98,198,100,41,CRITICAL
CUST000054,45,588527.4,13078.386666666667,44947.81,206,100,45,CRITICAL
CUST000055,44,600742.66,13653.242272727273,43155.65,207,100,44,CRITICAL
CUST000056,52,708832.12,13631.386923076923,44953.62,215,100,52,CRITICAL
CUST000057,46,593379.61,12899.556739130434,44778.64,189,100,46,CRITICAL
