customer_id,total_transactions,total_transaction_value,average_transaction_value,maximum_transaction_value,total_red_flags,maximum_rule_score,alert_count,customer_risk_level
CUST000045,51,608817.96,11937.607058823529,42231.33,266,100,51,CRITICAL
CUST000030,44,218699.32,4970.439090909091,10310.3,264,100,44,CRITICAL
CUST000011,53,216949.59,4093.3884905660375,9945.94,258,100,53,CRITICAL
CUST000097,43,436362.83,10147.972790697675,29996.67,253,100,43,CRITICAL
CUST000023,50,206369.73,4127.3946000000005,9922.86,250,100,50,CRITICAL
CUST000014,46,204049.31,4435.854565217392,9852.35,243,100,46,CRITICAL
CUST000095,52,392716.41,7552.238653846153,29785.0,241,100,52,CRITICAL
CUST000028,44,196018.65,4454.969318181818,9930.35,234,100,44,CRITICAL
CUST000032,42,192484.05,4582.953571428571,9853.23,232,100,42,CRITICAL
CUST000096,50,379693.9,7593.878000000001,29965.37,231,100,50,CRITICAL
CUST000029,40,217526.33,5438.1582499999995,9913.8,230,100,40,CRITICAL
CUST000090,50,406280.49,8125.6098,29779.45,230,100,50,CRITICAL
CUST000031,43,206455.95,4801.301162790698,9843.0,229,100,43,CRITICAL
CUST000020,50,210948.75,4218.975,9747.67,228,100,50,CRITICAL
CUST000041,52,640133.09,12310.25173076923,40680.77,227,100,52,CRITICAL
CUST000091,47,380156.33,8088.43255319149,29806.69,226,100,47,CRITICAL
CUST000106,51,413131.38,8100.615294117647,29027.25,225,100,51,CRITICAL
CUST000042,51,634128.98,12433.90156862745,44846.41,224,100,51,CRITICAL
CUST000086,45,403059.5,8956.877777777778,29772.96,224,100,45,CRITICAL
CUST000039,47,718855.74,15294.802978723405,44851.43,222,100,47,CRITICAL
CUST000059,50,565180.26,11303.6052,40197.28,222,100,50,CRITICAL
CUST000060,45,182501.66999999998,4055.5926666666664,11264.85,221,100,45,CRITICAL
CUST000012,46,197902.13,4302.220217391305,9936.25,220,100,46,CRITICAL
CUST000017,42,198669.76,4730.232380952381,9893.61,220,100,42,CRITICAL
CUST000038,48,665215.46,13858.655416666666,42194.19,220,100,48,CRITICAL
CUST000104,44,426367.45,9690.16931818182,28955.63,219,100,44,CRITICAL
CUST000027,47,210088.52,4469.968510638298,9939.84,218,100,47,CRITICAL
CUST000047,46,680335.99,14789.912826086957,42951.13,218,100,46,CRITICAL
CUST000107,49,408936.57,8345.644285714287,29010.75,218,100,49,CRITICAL
CUST000103,44,442995.73,10068.084772727272,29129.68,217,100,44,CRITICAL
CUST000050,46,623488.38,13554.095217391305,44125.82,215,100,46,CRITICAL
CUST000056,52,708832.12,13631.386923076923,44953.62,215,100,52,CRITICAL
CUST000013,47,202374.71,4305.844893617021,9884.04,214,100,47,CRITICAL
CUST000016,44,204177.06,4640.387727272727,9918.88,214,100,44,CRITICAL
CUST000018,44,195249.06,4437.478636363637,9936.24,214,100,44,CRITICAL
CUST000025,45,198368.84,4408.196444444445,9916.03,214,100,45,CRITICAL
CUST000085,42,398260.49,9482.39261904762,29631.58,214,100,42,CRITICAL
CUST000100,45,418778.93,9306.198444444444,29232.88,214,100,45,CRITICAL
CUST000052,45,693028.6,15400.635555555555,42963.16,213,100,45,CRITICAL
CUST000015,44,204191.11,4640.707045454546,9928.3,212,100,44,CRITICAL
CUST000022,43,206438.08000000002,4800.88558139535,9895.48,212,100,43,CRITICAL
CUST000108,47,429973.91000000003,9148.381063829787,29408.65,212,100,47,CRITICAL
CUST000036,45,618612.76,13746.950222222222,44994.06,210,100,45,CRITICAL
CUST000092,39,445873.35,11432.65,29968.16,210,100,39,CRITICAL
CUST000021,41,203418.94,4961.43756097561,9815.14,209,100,41,CRITICAL
CUST000079,43,179789.93,4181.161162790698,11948.94,209,100,43,CRITICAL
CUST000044,51,565995.87,11097.958235294118,44019.81,208,100,51,CRITICAL
CUST000010,42,204756.32,4875.150476190476,9902.23,207,100,42,CRITICAL
CUST000034,41,194196.7,4736.5048780487805,9942.92,207,100,41,CRITICAL
CUST000043,46,633262.26,13766.570869565217,43104.74,207,100,46,CRITICAL
CUST000055,44,600742.66,13653.242272727273,43155.65,207,100,44,CRITICAL
CUST000054,45,588527.4,13078.386666666667,44947.81,206,100,45,CRITICAL
CUST000105,45,425901.35,9464.474444444444,28952.25,206,100,45,CRITICAL
CUST000026,40,191328.69,4783.21725,9928.62,204,100,40,CRITICAL
CUST000035,44,586149.77,13321.585681818182,44380.46,203,100,44,CRITICAL
CUST000058,42,591183.92,14075.80761904762,43263.31,203,100,42,CRITICAL
CUST000088,36,442597.03,12294.361944444445,29736.52,202,100,36,CRITICAL
CUST000101,40,367732.14999999997,9193.30375,29417.67,202,100,40,CRITICAL
CUST000019,41,196518.45,4793.132926829268,9870.8,201,100,41,CRITICAL
CUST000033,39,196730.7,5044.376923076923,9913.09,201,100,39,CRITICAL
CUST000040,45,649062.82,14423.618222222221,44059.06,201,100,45,CRITICAL
CUST000046,48,631886.03,13164.292291666667,44362.59,200,100,48,CRITICAL
CUST000098,45,366619.82,8147.107111111111,29846.08,200,100,45,CRITICAL
CUST000102,41,434594.32,10599.861463414634,29983.94,200,100,41,CRITICAL
CUST000053,41,600806.41,14653.81487804878,43653.98,198,100,41,CRITICAL
CUST000064,45,147597.41999999998,3279.9426666666664,10916.66,198,100,45,CRITICAL
CUST000087,43,395933.85,9207.763953488371,28644.43,198,100,43,CRITICAL
CUST000024,38,192871.37,5075.562368421052,9679.71,195,100,38,CRITICAL
CUST000051,41,648506.03,15817.22024390244,42841.14,195,100,41,CRITICAL
CUST000062,40,170489.32,4262.233,11006.75,195,100,40,CRITICAL
CUST000070,51,188388.6,3693.894117647059,11790.4,195,100,51,CRITICAL
CUST000147,47,187861.41,3997.0512765957446,13706.29,194,100,47,CRITICAL
CUST000037,44,585393.01,13304.386590909091,44499.12,193,100,44,CRITICAL
CUST000048,44,643450.52,14623.875454545456,42621.49,192,100,44,CRITICAL
CUST000057,46,593379.61,12899.556739130434,44778.64,189,100,46,CRITICAL
CUST000109,40,403431.06,10085.7765,27056.53,188,100,40,CRITICAL
CUST000125,49,169166.91,3452.385918367347,9501.94,188,100,49,CRITICAL
CUST000049,38,671001.41,17657.931842105263,44273.65,187,100,38,CRITICAL
CUST000089,39,414279.77999999997,10622.558461538461,29303.57,187,100,39,CRITICAL
CUST000067,54,166593.82,3085.070740740741,11563.98,185,100,54,CRITICAL
CUST000074,50,186622.81,3732.4562,11891.72,183,100,50,CRITICAL
CUST000156,53,183730.83,3466.619433962264,14148.26,182,100,53,CRITICAL
CUST000063,40,194771.49,4869.287249999999,11990.26,181,100,40,CRITICAL
CUST000093,38,426823.36,11232.193684210526,29048.43,181,100,38,CRITICAL
CUST000139,48,204690.34,4264.382083333333,14998.91,181,100,48,CRITICAL
CUST000081,38,168900.75,4444.756578947368,11278.65,180,100,38,CRITICAL
CUST000143,45,193427.21,4298.382444444444,13504.13,176,100,45,CRITICAL
CUST000068,39,197655.5,5068.089743589743,11893.88,175,100,39,CRITICAL
CUST000094,36,383758.12,10659.947777777777,27575.79,173,100,36,CRITICAL
