case_id,customer_id,case_priority,case_risk_level,risk_score,primary_alert_type,red_flag_count,transaction_count,total_transaction_volume_usd,narrative_quality_score,sar_narrative_draft,human_review_required,automatic_sar_filing
AML-CUST000064,CUST000064,P1,CRITICAL,82.5,FUNNEL_ACCOUNT,5,45,147597.42,100.0,"Case AML-CUST000064 was reviewed for potential suspicious financial activity involving Customer CUST000064 is identified in the synthetic dataset as a customer. The recorded annual income is $0.00, and the expected monthly transaction volume is $0.00. During the period from 2025-02-15 through 2025-12-22, the customer conducted 45 reviewed transactions totaling $147,597.42. The activity generated an AML monitoring alert categorized as FUNNEL_ACCOUNT. The alert was generated because High rule-engine risk; High ML suspiciousness score; Adverse media indicator. Transaction types observed included ACH, ATM, CASH_DEPOSIT, CARD_PAYMENT, P2P_TRANSFER, WIRE, INTERNATIONAL_WIRE, CASH_WITHDRAWAL. Channels observed included Mobile App, Branch, Phone, Online Banking, ATM. Observed origin countries included United States, Nigeria, Mexico, UAE, Germany, Hong Kong. Observed destination countries included United States, Turkey, Mexico, Canada, Germany, India, Nigeria. The investigation identified the following behavioral indicators: Customer has an adverse-media indicator in the synthetic dataset.; Activity involves multiple origin countries and elevated transaction frequency.; Transaction activity is consistent with the synthetic mule-behavior scenario.; Customer interacted with multiple counterparties.; Multiple transactions observed in the synthetic structuring threshold range.. The combined AML risk score for the case was 82.50, with a case risk level of CRITICAL and investigation priority P1. Model and rule assessment was recorded as STRONG_AGREEMENT. The activity was considered unusual for review because the observed transaction behavior, transaction volume, frequency, geographic activity and/or other risk indicators required additional assessment against the customer's known profile and expected activity. Examples of reviewed transactions include transaction TXN00057779 for $397.61 on 2025-02-15 06:30:00; transaction TXN00041793 for $62.34 on 2025-04-18 07:35:00; transaction TXN00028873 for $523.50 on 2025-04-18 22:06:00; transaction TXN00032128 for $149.36 on 2025-04-26 15:38:00; transaction TXN00043464 for $1,352.41 on 2025-04-30 16:28:00. The information above represents the available synthetic investigation evidence for analyst review. Any SAR filing determination should be made by an authorized financial-crime professional after review of the relevant facts and supporting information.",YES,NO
AML-CUST000079,CUST000079,P1,CRITICAL,82.5,FUNNEL_ACCOUNT,5,43,179789.93,100.0,"Case AML-CUST000079 was reviewed for potential suspicious financial activity involving Customer CUST000079 is identified in the synthetic dataset as a customer. The recorded annual income is $0.00, and the expected monthly transaction volume is $0.00. During the period from 2025-02-10 through 2025-12-18, the customer conducted 43 reviewed transactions totaling $179,789.93. The activity generated an AML monitoring alert categorized as FUNNEL_ACCOUNT. The alert was generated because High rule-engine risk; High ML suspiciousness score; Adverse media indicator. Transaction types observed included ATM, CARD_PAYMENT, P2P_TRANSFER, ACH, INTERNATIONAL_WIRE, WIRE. Channels observed included Online Banking, ATM, Branch, Mobile App, Phone. Observed origin countries included United States, Mexico, United Kingdom, India, Germany, Nigeria, Turkey, Singapore. Observed destination countries included United States, Mexico, Turkey, Brazil, Germany. The investigation identified the following behavioral indicators: Customer has an adverse-media indicator in the synthetic dataset.; Activity involves multiple origin countries and elevated transaction frequency.; Transaction activity is consistent with the synthetic mule-behavior scenario.; Customer interacted with multiple counterparties.; Multiple transactions observed in the synthetic structuring threshold range.. The combined AML risk score for the case was 82.50, with a case risk level of CRITICAL and investigation priority P1. Model and rule assessment was recorded as STRONG_AGREEMENT. The activity was considered unusual for review because the observed transaction behavior, transaction volume, frequency, geographic activity and/or other risk indicators required additional assessment against the customer's known profile and expected activity. Examples of reviewed transactions include transaction TXN00025313 for $258.67 on 2025-02-10 10:46:00; transaction TXN00083336 for $196.88 on 2025-02-13 18:59:00; transaction TXN00033790 for $391.88 on 2025-03-01 23:16:00; transaction TXN00002786 for $745.94 on 2025-03-02 06:17:00; transaction TXN00084949 for $2,105.13 on 2025-03-07 02:54:00. The information above represents the available synthetic investigation evidence for analyst review. Any SAR filing determination should be made by an authorized financial-crime professional after review of the relevant facts and supporting information.",YES,NO
AML-CUST001186,CUST001186,P1,HIGH,53.5,GENERAL_TRANSACTION_MONITORING,5,16,16153.1,100.0,"Case AML-CUST001186 was reviewed for potential suspicious financial activity involving Customer CUST001186 is identified in the synthetic dataset as a customer. The recorded annual income is $0.00, and the expected monthly transaction volume is $0.00. During the period from 2025-01-04 through 2025-12-24, the customer conducted 16 reviewed transactions totaling $16,153.10. The activity generated an AML monitoring alert categorized as GENERAL_TRANSACTION_MONITORING. The alert was generated because High rule-engine risk; PEP indicator; Sanctions indicator. Transaction types observed included WIRE, ACH, CARD_PAYMENT, CASH_DEPOSIT. Channels observed included Online Banking, Mobile App, Branch. Observed origin countries included United States, Turkey, Singapore, Canada, Mexico. Observed destination countries included United States, Hong Kong, Canada. The investigation identified the following behavioral indicators: Activity involves multiple origin countries and elevated transaction frequency.; Transaction activity is consistent with the synthetic mule-behavior scenario.; Customer interacted with multiple counterparties.; Customer is marked with a PEP indicator in the synthetic dataset.; Customer has a sanctions indicator in the synthetic dataset.. The combined AML risk score for the case was 53.50, with a case risk level of HIGH and investigation priority P1. Model and rule assessment was recorded as RULE_HIGH_ML_LOW. The activity was considered unusual for review because the observed transaction behavior, transaction volume, frequency, geographic activity and/or other risk indicators required additional assessment against the customer's known profile and expected activity. Examples of reviewed transactions include transaction TXN00091842 for $90.29 on 2025-01-04 15:36:00; transaction TXN00114904 for $3,210.62 on 2025-01-20 11:47:00; transaction TXN00092156 for $7,549.79 on 2025-01-31 13:30:00; transaction TXN00024859 for $260.53 on 2025-02-19 16:49:00; transaction TXN00029228 for $73.29 on 2025-04-03 06:43:00. The information above represents the available synthetic investigation evidence for analyst review. Any SAR filing determination should be made by an authorized financial-crime professional after review of the relevant facts and supporting information.",YES,NO
AML-CUST004435,CUST004435,P1,HIGH,53.5,GENERAL_TRANSACTION_MONITORING,4,20,9979.51,100.0,"Case AML-CUST004435 was reviewed for potential suspicious financial activity involving Customer CUST004435 is identified in the synthetic dataset as a customer. The recorded annual income is $0.00, and the expected monthly transaction volume is $0.00. During the period from 2025-01-04 through 2025-12-21, the customer conducted 20 reviewed transactions totaling $9,979.51. The activity generated an AML monitoring alert categorized as GENERAL_TRANSACTION_MONITORING. The alert was generated because High rule-engine risk; PEP indicator; Sanctions indicator. Transaction types observed included P2P_TRANSFER, INTERNATIONAL_WIRE, CASH_DEPOSIT, WIRE, CARD_PAYMENT, ATM, ACH. Channels observed included ATM, Mobile App, Online Banking, Branch. Observed origin countries included United States, UAE, India, Brazil. Observed destination countries included United States, Mexico, Hong Kong, Germany, United Kingdom. The investigation identified the following behavioral indicators: Activity involves multiple origin countries and elevated transaction frequency.; Customer interacted with multiple counterparties.; Customer is marked with a PEP indicator in the synthetic dataset.; Customer has a sanctions indicator in the synthetic dataset.. The combined AML risk score for the case was 53.50, with a case risk level of HIGH and investigation priority P1. Model and rule assessment was recorded as RULE_HIGH_ML_LOW. The activity was considered unusual for review because the observed transaction behavior, transaction volume, frequency, geographic activity and/or other risk indicators required additional assessment against the customer's known profile and expected activity. Examples of reviewed transactions include transaction TXN00070248 for $108.89 on 2025-01-04 04:39:00; transaction TXN00108725 for $404.82 on 2025-01-23 04:45:00; transaction TXN00082245 for $924.48 on 2025-01-25 18:15:00; transaction TXN00050217 for $300.46 on 2025-02-17 09:05:00; transaction TXN00097005 for $218.57 on 2025-03-01 09:32:00. The information above represents the available synthetic investigation evidence for analyst review. Any SAR filing determination should be made by an authorized financial-crime professional after review of the relevant facts and supporting information.",YES,NO
AML-CUST004909,CUST004909,P1,HIGH,53.5,GENERAL_TRANSACTION_MONITORING,4,27,16890.98,100.0,"Case AML-CUST004909 was reviewed for potential suspicious financial activity involving Customer CUST004909 is identified in the synthetic dataset as a customer. The recorded annual income is $0.00, and the expected monthly transaction volume is $0.00. During the period from 2025-01-15 through 2025-11-25, the customer conducted 27 reviewed transactions totaling $16,890.98. The activity generated an AML monitoring alert categorized as GENERAL_TRANSACTION_MONITORING. The alert was generated because High rule-engine risk; Sanctions indicator; Adverse media indicator; Behavioral model drivers: transaction_month | transaction_hour | log_amount. Transaction types observed included CASH_WITHDRAWAL, P2P_TRANSFER, CASH_DEPOSIT, ACH, CARD_PAYMENT, WIRE. Channels observed included Mobile App, Online Banking, ATM, Branch. Observed origin countries included Nigeria, United States, Mexico, UAE, Singapore, Turkey, Hong Kong, Canada. Observed destination countries included Mexico, United States, Singapore, Canada, Germany, India, United Kingdom. The investigation identified the following behavioral indicators: Customer has an adverse-media indicator in the synthetic dataset.; Activity involves multiple origin countries and elevated transaction frequency.; Customer interacted with multiple counterparties.; Customer has a sanctions indicator in the synthetic dataset.. The combined AML risk score for the case was 53.50, with a case risk level of HIGH and investigation priority P1. Model and rule assessment was recorded as RULE_HIGH_ML_LOW. The activity was considered unusual for review because the observed transaction behavior, transaction volume, frequency, geographic activity and/or other risk indicators required additional assessment against the customer's known profile and expected activity. Examples of reviewed transactions include transaction TXN00051542 for $47.78 on 2025-01-15 03:20:00; transaction TXN00043761 for $1,832.36 on 2025-01-18 05:02:00; transaction TXN00113653 for $174.21 on 2025-01-27 18:30:00; transaction TXN00106401 for $126.28 on 2025-01-28 19:00:00; transaction TXN00063116 for $76.03 on 2025-02-03 13:03:00. The information above represents the available synthetic investigation evidence for analyst review. Any SAR filing determination should be made by an authorized financial-crime professional after review of the relevant facts and supporting information.",YES,NO
AML-CUST001343,CUST001343,P1,HIGH,51.0,GENERAL_TRANSACTION_MONITORING,4,29,34296.08,100.0,"Case AML-CUST001343 was reviewed for potential suspicious financial activity involving Customer CUST001343 is identified in the synthetic dataset as a customer. The recorded annual income is $0.00, and the expected monthly transaction volume is $0.00. During the period from 2025-02-05 through 2025-12-28, the customer conducted 29 reviewed transactions totaling $34,296.08. The activity generated an AML monitoring alert categorized as GENERAL_TRANSACTION_MONITORING. The alert was generated because High rule-engine risk; Sanctions indicator. Transaction types observed included CARD_PAYMENT, WIRE, ACH, INTERNATIONAL_WIRE, P2P_TRANSFER, ATM, CASH_DEPOSIT. Channels observed included Mobile App, Online Banking, ATM, Phone, Branch. Observed origin countries included United States, Brazil, Mexico, Canada, India, UAE, Hong Kong. Observed destination countries included United States, Hong Kong, Mexico, Canada, Nigeria, Singapore, India, Turkey. The investigation identified the following behavioral indicators: Activity involves multiple origin countries and elevated transaction frequency.; Transaction activity is consistent with the synthetic mule-behavior scenario.; Customer interacted with multiple counterparties.; Customer has a sanctions indicator in the synthetic dataset.. The combined AML risk score for the case was 51.00, with a case risk level of HIGH and investigation priority P1. Model and rule assessment was recorded as RULE_HIGH_ML_LOW. The activity was considered unusual for review because the observed transaction behavior, transaction volume, frequency, geographic activity and/or other risk indicators required additional assessment against the customer's known profile and expected activity. Examples of reviewed transactions include transaction TXN00059062 for $108.55 on 2025-02-05 09:09:00; transaction TXN00048661 for $561.04 on 2025-02-10 06:41:00; transaction TXN00068935 for $610.53 on 2025-02-23 13:54:00; transaction TXN00087129 for $198.93 on 2025-02-27 21:58:00; transaction TXN00053286 for $4,774.28 on 2025-03-18 08:03:00. The information above represents the available synthetic investigation evidence for analyst review. Any SAR filing determination should be made by an authorized financial-crime professional after review of the relevant facts and supporting information.",YES,NO
AML-CUST002257,CUST002257,P1,HIGH,51.0,GENERAL_TRANSACTION_MONITORING,4,25,22890.8,100.0,"Case AML-CUST002257 was reviewed for potential suspicious financial activity involving Customer CUST002257 is identified in the synthetic dataset as a customer. The recorded annual income is $0.00, and the expected monthly transaction volume is $0.00. During the period from 2025-01-04 through 2025-12-16, the customer conducted 25 reviewed transactions totaling $22,890.80. The activity generated an AML monitoring alert categorized as GENERAL_TRANSACTION_MONITORING. The alert was generated because High rule-engine risk; Sanctions indicator. Transaction types observed included CASH_DEPOSIT, WIRE, CARD_PAYMENT, P2P_TRANSFER, INTERNATIONAL_WIRE, ACH, ATM. Channels observed included Branch, Online Banking, ATM, Mobile App, Phone. Observed origin countries included United States, India, Germany, Mexico, Turkey, UAE. Observed destination countries included United States, Mexico, Singapore, Turkey, India, United Kingdom, Canada, UAE, Brazil. The investigation identified the following behavioral indicators: Activity involves multiple origin countries and elevated transaction frequency.; Transaction activity is consistent with the synthetic mule-behavior scenario.; Customer interacted with multiple counterparties.; Customer has a sanctions indicator in the synthetic dataset.. The combined AML risk score for the case was 51.00, with a case risk level of HIGH and investigation priority P1. Model and rule assessment was recorded as RULE_HIGH_ML_LOW. The activity was considered unusual for review because the observed transaction behavior, transaction volume, frequency, geographic activity and/or other risk indicators required additional assessment against the customer's known profile and expected activity. Examples of reviewed transactions include transaction TXN00020653 for $318.22 on 2025-01-04 11:59:00; transaction TXN00063508 for $467.93 on 2025-01-06 07:29:00; transaction TXN00107883 for $78.89 on 2025-02-24 04:30:00; transaction TXN00056344 for $152.43 on 2025-02-26 00:08:00; transaction TXN00110006 for $184.36 on 2025-03-10 11:35:00. The information above represents the available synthetic investigation evidence for analyst review. Any SAR filing determination should be made by an authorized financial-crime professional after review of the relevant facts and supporting information.",YES,NO
AML-CUST002274,CUST002274,P1,HIGH,51.0,GENERAL_TRANSACTION_MONITORING,4,27,24626.53,100.0,"Case AML-CUST002274 was reviewed for potential suspicious financial activity involving Customer CUST002274 is identified in the synthetic dataset as a customer. The recorded annual income is $0.00, and the expected monthly transaction volume is $0.00. During the period from 2025-01-23 through 2025-12-01, the customer conducted 27 reviewed transactions totaling $24,626.53. The activity generated an AML monitoring alert categorized as GENERAL_TRANSACTION_MONITORING. The alert was generated because High rule-engine risk; Sanctions indicator. Transaction types observed included ATM, CASH_WITHDRAWAL, P2P_TRANSFER, CARD_PAYMENT, INTERNATIONAL_WIRE, WIRE, ACH, CASH_DEPOSIT. Channels observed included Phone, Online Banking, Mobile App, ATM, Branch. Observed origin countries included United States, Canada, India, Hong Kong, Turkey. Observed destination countries included India, United States, UAE, Singapore, Nigeria, Mexico, Canada, Brazil. The investigation identified the following behavioral indicators: Activity involves multiple origin countries and elevated transaction frequency.; Transaction activity is consistent with the synthetic mule-behavior scenario.; Customer interacted with multiple counterparties.; Customer has a sanctions indicator in the synthetic dataset.. The combined AML risk score for the case was 51.00, with a case risk level of HIGH and investigation priority P1. Model and rule assessment was recorded as RULE_HIGH_ML_LOW. The activity was considered unusual for review because the observed transaction behavior, transaction volume, frequency, geographic activity and/or other risk indicators required additional assessment against the customer's known profile and expected activity. Examples of reviewed transactions include transaction TXN00043769 for $1,091.93 on 2025-01-23 05:24:00; transaction TXN00008361 for $109.37 on 2025-01-29 16:12:00; transaction TXN00006013 for $681.59 on 2025-02-01 04:45:00; transaction TXN00033121 for $200.63 on 2025-02-03 21:45:00; transaction TXN00106102 for $1,787.31 on 2025-02-09 22:32:00. The information above represents the available synthetic investigation evidence for analyst review. Any SAR filing determination should be made by an authorized financial-crime professional after review of the relevant facts and supporting information.",YES,NO
AML-CUST002904,CUST002904,P1,HIGH,51.0,GENERAL_TRANSACTION_MONITORING,4,23,33555.01,100.0,"Case AML-CUST002904 was reviewed for potential suspicious financial activity involving Customer CUST002904 is identified in the synthetic dataset as a customer. The recorded annual income is $0.00, and the expected monthly transaction volume is $0.00. During the period from 2025-01-02 through 2025-12-23, the customer conducted 23 reviewed transactions totaling $33,555.01. The activity generated an AML monitoring alert categorized as GENERAL_TRANSACTION_MONITORING. The alert was generated because High rule-engine risk; Sanctions indicator. Transaction types observed included P2P_TRANSFER, WIRE, CARD_PAYMENT, ATM, ACH, INTERNATIONAL_WIRE. Channels observed included Online Banking, Mobile App, Phone, Branch, ATM. Observed origin countries included United States, Turkey, United Kingdom, Canada, India, Nigeria. Observed destination countries included United States, Singapore, Turkey, Germany, Hong Kong, Nigeria, Brazil. The investigation identified the following behavioral indicators: Activity involves multiple origin countries and elevated transaction frequency.; Transaction activity is consistent with the synthetic mule-behavior scenario.; Customer interacted with multiple counterparties.; Customer has a sanctions indicator in the synthetic dataset.. The combined AML risk score for the case was 51.00, with a case risk level of HIGH and investigation priority P1. Model and rule assessment was recorded as RULE_HIGH_ML_LOW. The activity was considered unusual for review because the observed transaction behavior, transaction volume, frequency, geographic activity and/or other risk indicators required additional assessment against the customer's known profile and expected activity. Examples of reviewed transactions include transaction TXN00040572 for $264.06 on 2025-01-02 22:59:00; transaction TXN00097011 for $812.37 on 2025-01-23 23:03:00; transaction TXN00057549 for $813.53 on 2025-02-03 03:42:00; transaction TXN00049588 for $19.94 on 2025-02-09 19:53:00; transaction TXN00110848 for $1,858.70 on 2025-03-02 16:10:00. The information above represents the available synthetic investigation evidence for analyst review. Any SAR filing determination should be made by an authorized financial-crime professional after review of the relevant facts and supporting information.",YES,NO
AML-CUST000946,CUST000946,P1,MEDIUM,47.5,GENERAL_TRANSACTION_MONITORING,3,27,10711.72,100.0,"Case AML-CUST000946 was reviewed for potential suspicious financial activity involving Customer CUST000946 is identified in the synthetic dataset as a customer. The recorded annual income is $0.00, and the expected monthly transaction volume is $0.00. During the period from 2025-01-09 through 2025-12-10, the customer conducted 27 reviewed transactions totaling $10,711.72. The activity generated an AML monitoring alert categorized as GENERAL_TRANSACTION_MONITORING. The alert was generated because High rule-engine risk; Sanctions indicator. Transaction types observed included CARD_PAYMENT, WIRE, CASH_WITHDRAWAL, P2P_TRANSFER, ACH, ATM, INTERNATIONAL_WIRE, CASH_DEPOSIT. Channels observed included Mobile App, ATM, Online Banking, Phone, Branch. Observed origin countries included United States, Canada, Singapore, UAE, United Kingdom, Mexico. Observed destination countries included United States, Hong Kong, United Kingdom, Germany, Singapore, Canada, India, Turkey, Mexico. The investigation identified the following behavioral indicators: Activity involves multiple origin countries and elevated transaction frequency.; Customer interacted with multiple counterparties.; Customer has a sanctions indicator in the synthetic dataset.. The combined AML risk score for the case was 47.50, with a case risk level of MEDIUM and investigation priority P1. Model and rule assessment was recorded as RULE_HIGH_ML_LOW. The activity was considered unusual for review because the observed transaction behavior, transaction volume, frequency, geographic activity and/or other risk indicators required additional assessment against the customer's known profile and expected activity. Examples of reviewed transactions include transaction TXN00063762 for $120.06 on 2025-01-09 21:22:00; transaction TXN00115341 for $320.20 on 2025-01-13 21:28:00; transaction TXN00089711 for $96.63 on 2025-01-29 23:09:00; transaction TXN00068969 for $109.46 on 2025-02-03 16:06:00; transaction TXN00085907 for $499.04 on 2025-02-16 01:51:00. The information above represents the available synthetic investigation evidence for analyst review. Any SAR filing determination should be made by an authorized financial-crime professional after review of the relevant facts and supporting information.",YES,NO
