case_id,customer_id,quality_score,has_who,has_what,has_when,has_where,has_why,has_amount,chronological_language,human_review_statement
AML-CUST000064,CUST000064,100.0,True,True,True,True,True,True,True,True
AML-CUST000079,CUST000079,100.0,True,True,True,True,True,True,True,True
AML-CUST001186,CUST001186,100.0,True,True,True,True,True,True,True,True
AML-CUST004435,CUST004435,100.0,True,True,True,True,True,True,True,True
AML-CUST004909,CUST004909,100.0,True,True,True,True,True,True,True,True
AML-CUST001343,CUST001343,100.0,True,True,True,True,True,True,True,True
AML-CUST002257,CUST002257,100.0,True,True,True,True,True,True,True,True
AML-CUST002274,CUST002274,100.0,True,True,True,True,True,True,True,True
AML-CUST002904,CUST002904,100.0,True,True,True,True,True,True,True,True
AML-CUST000946,CUST000946,100.0,True,True,True,True,True,True,True,True
AML-CUST001003,CUST001003,100.0,True,True,True,True,True,True,True,True
AML-CUST001495,CUST001495,100.0,True,True,True,True,True,True,True,True
AML-CUST002056,CUST002056,100.0,True,True,True,True,True,True,True,True
AML-CUST002140,CUST002140,100.0,True,True,True,True,True,True,True,True
AML-CUST002208,CUST002208,100.0,True,True,True,True,True,True,True,True
AML-CUST003058,CUST003058,100.0,True,True,True,True,True,True,True,True
AML-CUST003161,CUST003161,100.0,True,True,True,True,True,True,True,True
AML-CUST004014,CUST004014,100.0,True,True,True,True,True,True,True,True
AML-CUST004736,CUST004736,100.0,True,True,True,True,True,True,True,True
AML-CUST000607,CUST000607,100.0,True,True,True,True,True,True,True,True
AML-CUST001440,CUST001440,100.0,True,True,True,True,True,True,True,True
AML-CUST003780,CUST003780,100.0,True,True,True,True,True,True,True,True
AML-CUST000010,CUST000010,100.0,True,True,True,True,True,True,True,True
AML-CUST000041,CUST000041,100.0,True,True,True,True,True,True,True,True
AML-CUST000042,CUST000042,100.0,True,True,True,True,True,True,True,True
AML-CUST000048,CUST000048,100.0,True,True,True,True,True,True,True,True
AML-CUST000080,CUST000080,100.0,True,True,True,True,True,True,True,True
AML-CUST000082,CUST000082,100.0,True,True,True,True,True,True,True,True
AML-CUST000126,CUST000126,100.0,True,True,True,True,True,True,True,True
AML-CUST000128,CUST000128,100.0,True,True,True,True,True,True,True,True
AML-CUST000135,CUST000135,100.0,True,True,True,True,True,True,True,True
AML-CUST000152,CUST000152,100.0,True,True,True,True,True,True,True,True
AML-CUST000157,CUST000157,100.0,True,True,True,True,True,True,True,True
AML-CUST000029,CUST000029,100.0,True,True,True,True,True,True,True,True
AML-CUST000159,CUST000159,100.0,True,True,True,True,True,True,True,True
AML-CUST000139,CUST000139,100.0,True,True,True,True,True,True,True,True
AML-CUST001070,CUST001070,100.0,True,True,True,True,True,True,True,True
AML-CUST001602,CUST001602,100.0,True,True,True,True,True,True,True,True
AML-CUST002465,CUST002465,100.0,True,True,True,True,True,True,True,True
AML-CUST000144,CUST000144,100.0,True,True,True,True,True,True,True,True
AML-CUST000045,CUST000045,100.0,True,True,True,True,True,True,True,True
AML-CUST000756,CUST000756,100.0,True,True,True,True,True,True,True,True
AML-CUST003038,CUST003038,100.0,True,True,True,True,True,True,True,True
AML-CUST002782,CUST002782,100.0,True,True,True,True,True,True,True,True
AML-CUST004328,CUST004328,100.0,True,True,True,True,True,True,True,True
AML-CUST000030,CUST000030,100.0,True,True,True,True,True,True,True,True
