feature,mean_absolute_shap,rank
transaction_hour,2.6447471312246282,1
log_amount,2.38307891123846,2
transaction_month,1.4054505818576153,3
international_ratio_24h,1.2664294923963548,4
is_night_transaction,0.8563846118493661,5
channel_transaction_ratio,0.7775046902668169,6
channel_transaction_count,0.6769855380727747,7
suspicious_transaction_ratio,0.5834849937462644,8
cash_ratio_24h,0.5383444902125519,9
amount_deviation_from_average,0.41550592881305204,10
amount_vs_customer_max,0.38011357183707284,11
amount_vs_customer_average,0.34380563985178003,12
customer_volume_share,0.3012482398134606,13
structuring_customer_count,0.2927095597440573,14
unique_counterparties,0.2863238211568692,15
amount_usd,0.27719519620702165,16
is_weekend,0.2661869789476045,17
customer_total_transactions,0.26378860878242194,18
top_transaction_indicator,0.24191816618803463,19
rapid_movement_ratio,0.23609071522905456,20
is_small_cash_transaction,0.23476783840021354,21
transactions_24h,0.2200236084161001,22
rapid_transaction_indicator,0.2171351318493675,23
structuring_ratio,0.199532979082595,24
unique_destination_countries,0.19026228661571135,25
transaction_day_of_week,0.18348829825251764,26
average_transaction_30d,0.18020079219756246,27
transactions_7d,0.1623754197283483,28
transaction_day,0.15288273126735463,29
customer_max_transaction,0.13938636744865326,30
customer_min_transaction,0.1339781347072743,31
counterparty_diversity_ratio,0.12663119726154362,32
amount_zscore,0.1181066296015862,33
international_ratio,0.11692712041710152,34
rule_alert_ratio,0.11572180931186303,35
transactions_30d,0.11467599759061124,36
amount_squared,0.11418271845454235,37
cash_ratio,0.11083451028864659,38
pep_flag,0.10991730758653961,39
customer_total_volume,0.10529297139197565,40
high_customer_risk,0.10522324896223877,41
transaction_vs_monthly_income,0.10108460757838432,42
volume_30d,0.09914354594712135,43
customer_risk_numeric,0.09167086926841403,44
annual_transaction_volume_vs_income,0.09024259660118869,45
customer_transaction_std,0.07285536879438176,46
high_risk_customer_profile,0.053856929809199434,47
average_transaction_24h,0.053652385248880274,48
volume_24h,0.05273562905025967,49
customer_risk_indicator_count,0.05208756150973194,50
mule_behavior_indicator,0.05133255743342028,51
international_transactions_24h,0.04454331929307557,52
multiple_near_threshold,0.039829781781440796,53
adverse_media_flag,0.03871515027689479,54
cash_transactions_24h,0.03626191367274537,55
minutes_since_previous_transaction,0.029500454845712766,56
rapid_movement_flag,0.026125528301854672,57
layering_behavior_score,0.026125528301854672,58
unique_origin_countries,0.025169173980914925,59
customer_average_transaction,0.02151576413698233,60
amount_vs_expected_monthly,0.02028068622032993,61
near_10000_threshold,0.019107715256365388,62
customer_volume_vs_expected,0.018281910346726146,63
volume_7d,0.014730410973682294,64
funnel_behavior_score,0.01159850287177425,65
is_large_transaction,0.010288352244398388,66
rapid_movement_customer_count,0.006992661165637006,67
average_transaction_7d,0.005441054786043743,68
is_very_large_transaction,0.004710882844307712,69
sanctions_flag,3.4789445384386925e-05,70
