transaction_id,customer_id,amount_usd,ml_risk_probability,ml_risk_score,ml_risk_level,top_positive_shap_features,top_positive_shap_values,top_negative_shap_features,top_negative_shap_values
SCN00780016,CUST000078,9565.15,0.9999999998889961,99.99999998889962,CRITICAL,transactions_24h | log_amount | rapid_transaction_indicator,8.298824 | 7.808450 | 5.711653,volume_30d | structuring_customer_count | average_transaction_30d,-2.469184 | -1.882537 | -1.546981
SCN00580001,CUST000058,31961.61,0.9999999998798619,99.99999998798619,CRITICAL,log_amount | amount_usd | amount_deviation_from_average,10.540580 | 9.177687 | 7.901363,amount_squared | average_transaction_30d | annual_transaction_volume_vs_income,-11.274549 | -2.730622 | -2.689717
SCN00410019,CUST000041,36491.16,0.9999999994217641,99.99999994217642,CRITICAL,log_amount | amount_deviation_from_average | amount_usd,10.840738 | 10.633466 | 10.506144,amount_squared | volume_30d | average_transaction_30d,-14.703282 | -11.210223 | -5.923762
SCN00880016,CUST000088,28442.7,0.999999999335073,99.9999999335073,CRITICAL,log_amount | transactions_24h | amount_usd,10.276412 | 8.298824 | 8.145638,amount_squared | volume_30d | average_transaction_30d,-8.924030 | -6.678523 | -4.427745
SCN00880001,CUST000088,26378.11,0.9999999990238162,99.99999990238162,CRITICAL,log_amount | amount_usd | suspicious_transaction_ratio,10.105748 | 7.540122 | 6.824760,amount_squared | annual_transaction_volume_vs_income | average_transaction_30d,-7.672426 | -2.664421 | -2.237753
SCN00720019,CUST000072,9080.37,0.9999999988157893,99.99999988157893,CRITICAL,transactions_24h | log_amount | rapid_transaction_indicator,9.870570 | 7.690666 | 5.711653,transaction_hour | volume_30d | transactions_30d,-2.809922 | -2.552754 | -1.499762
SCN01090018,CUST000109,25116.27,0.9999999975524301,99.99999975524301,CRITICAL,log_amount | transactions_24h | amount_usd,9.994734 | 9.346655 | 7.170041,amount_squared | volume_30d | average_transaction_30d,-6.953884 | -6.588224 | -4.138818
SCN00370002,CUST000037,41106.46,0.9999999975190037,99.99999975190038,CRITICAL,amount_deviation_from_average | amount_usd | log_amount,12.205067 | 11.859749 | 11.110460,amount_squared | average_transaction_30d | average_transaction_24h,-18.663655 | -3.648311 | -2.342627
SCN00500002,CUST000050,29146.63,0.9999999975183977,99.99999975183978,CRITICAL,log_amount | amount_usd | amount_deviation_from_average,10.331780 | 8.352092 | 6.906075,amount_squared | average_transaction_30d | annual_transaction_volume_vs_income,-9.372320 | -4.487972 | -2.378538
SCN00690006,CUST000069,8698.88,0.9999999969910556,99.99999969910556,CRITICAL,log_amount | rapid_transaction_indicator | suspicious_transaction_ratio,7.593470 | 5.711653 | 5.533531,average_transaction_30d | structuring_customer_count | volume_30d,-1.262878 | -1.062260 | -0.947019
SCN01440007,CUST000144,9958.32,0.9999999969822277,99.99999969822278,CRITICAL,log_amount | suspicious_transaction_ratio | rapid_transaction_indicator,7.899672 | 6.278471 | 5.711653,average_transaction_30d | amount_squared | volume_30d,-1.409315 | -1.074650 | -1.048374
SCN00580011,CUST000058,28078.77,0.9999999969534512,99.99999969534512,CRITICAL,log_amount | amount_usd | amount_deviation_from_average,10.247247 | 8.038903 | 6.216194,amount_squared | volume_30d | average_transaction_30d,-8.696562 | -6.328139 | -5.006306
SCN00880010,CUST000088,27586.47,0.999999996858635,99.9999996858635,CRITICAL,log_amount | amount_usd | suspicious_transaction_ratio,10.207188 | 7.894518 | 6.824760,amount_squared | volume_30d | average_transaction_30d,-8.393521 | -4.425789 | -4.299559
SCN01080015,CUST000108,29166.8,0.99999999680106,99.999999680106,CRITICAL,log_amount | amount_deviation_from_average | amount_usd,10.333346 | 8.826928 | 8.358007,amount_squared | volume_30d | average_transaction_30d,-9.385326 | -5.995902 | -3.753717
SCN01540005,CUST000154,9208.36,0.9999999967114293,99.99999967114293,CRITICAL,log_amount | rapid_transaction_indicator | suspicious_transaction_ratio,7.722363 | 5.711653 | 5.533531,structuring_customer_count | average_transaction_30d | amount_squared,-1.062260 | -0.964330 | -0.915696
SCN01480002,CUST000148,12689.15,0.9999999963827433,99.99999963827433,CRITICAL,log_amount | suspicious_transaction_ratio | rapid_transaction_indicator,8.448477 | 5.810223 | 5.711653,amount_squared | average_transaction_30d | amount_vs_customer_average,-1.758565 | -1.736587 | -0.927207
SCN00630013,CUST000063,8828.0,0.9999999961902746,99.99999961902746,CRITICAL,log_amount | transactions_24h | suspicious_transaction_ratio,7.626836 | 6.727077 | 6.114584,volume_30d | average_transaction_30d | transactions_30d,-2.269701 | -1.833679 | -0.995358
SCN00600018,CUST000060,8523.25,0.999999993825512,99.9999993825512,CRITICAL,transactions_24h | log_amount | rapid_transaction_indicator,9.346655 | 7.547281 | 5.711653,volume_30d | structuring_customer_count | transaction_hour,-2.848937 | -2.702815 | -2.374949
SCN00600017,CUST000060,8553.65,0.9999999929229977,99.99999929229976,CRITICAL,transactions_24h | log_amount | rapid_transaction_indicator,8.822739 | 7.555343 | 5.711653,structuring_customer_count | volume_30d | transaction_hour,-2.702815 | -2.693516 | -1.939977
SCN01330011,CUST000133,8322.82,0.9999999928541157,99.99999928541156,CRITICAL,log_amount | rapid_transaction_indicator | transactions_24h,7.493392 | 5.711653 | 5.679245,structuring_customer_count | volume_30d | average_transaction_30d,-2.702815 | -1.253815 | -1.033723
SCN00640001,CUST000064,9004.8,0.9999999903326972,99.99999903326972,CRITICAL,log_amount | rapid_transaction_indicator | suspicious_transaction_ratio,7.671741 | 5.711653 | 5.404409,structuring_customer_count | amount_squared | amount_vs_customer_average,-1.472399 | -0.874698 | -0.826450
SCN01520001,CUST000152,10448.89,0.9999999892414954,99.99999892414954,CRITICAL,log_amount | suspicious_transaction_ratio | rapid_transaction_indicator,8.008571 | 6.278471 | 5.711653,average_transaction_30d | amount_squared | structuring_customer_count,-1.238903 | -1.185357 | -0.652121
SCN01520009,CUST000152,11145.3,0.999999988790807,99.99999887908069,CRITICAL,log_amount | suspicious_transaction_ratio | rapid_transaction_indicator,8.154688 | 6.278471 | 5.711653,average_transaction_30d | volume_30d | amount_squared,-1.777890 | -1.604102 | -1.351656
SCN01200002,CUST000120,8667.11,0.9999999883911522,99.99999883911522,CRITICAL,log_amount | suspicious_transaction_ratio | rapid_transaction_indicator,7.585184 | 6.450983 | 5.711653,structuring_customer_count | amount_squared | average_transaction_30d,-3.112954 | -0.808706 | -0.781188
