transaction_id,customer_id,amount_usd,ml_risk_probability,ml_risk_score,ml_risk_level,top_positive_shap_features,top_positive_shap_values,top_negative_shap_features,top_negative_shap_values
TXN00115219,CUST002838,158.74,3.2836130751908237e-09,3.2836130751908237e-07,LOW,transaction_hour | is_night_transaction | channel_transaction_ratio,5.019582 | 1.509443 | 1.502106,cash_ratio_24h | log_amount | transaction_month,-1.796937 | -1.460175 | -1.396581
TXN00025882,CUST001902,183.68,2.2559280247601468e-11,2.255928024760147e-09,LOW,transaction_month | transaction_hour | channel_transaction_ratio,1.928612 | 1.104830 | 0.529742,international_ratio_24h | log_amount | is_night_transaction,-1.361817 | -1.131602 | -0.530345
TXN00117476,CUST003397,70.24,7.191999680114131e-13,7.191999680114131e-11,LOW,transaction_hour | international_ratio_24h | amount_vs_customer_average,1.539802 | 1.248694 | 0.283552,log_amount | channel_transaction_ratio | channel_transaction_count,-3.288999 | -1.261455 | -1.018882
TXN00011401,CUST001931,73.76,1.5743428262128043e-13,1.5743428262128043e-11,LOW,is_night_transaction | international_ratio_24h | channel_transaction_count,1.509443 | 1.248694 | 1.015492,transaction_hour | log_amount | transaction_month,-4.549811 | -3.179770 | -1.871608
TXN00066699,CUST001964,846.62,7.639630903154993e-09,7.639630903154993e-07,LOW,transaction_hour | log_amount | is_night_transaction,5.454554 | 2.319544 | 1.509443,cash_ratio_24h | international_ratio_24h | channel_transaction_ratio,-1.796937 | -1.361817 | -1.137390
TXN00079446,CUST002846,293.09,1.5173690822788779e-12,1.5173690822788778e-10,LOW,international_ratio_24h | channel_transaction_ratio | adverse_media_flag,1.248694 | 1.041513 | 0.549416,transaction_hour | transaction_month | is_night_transaction,-2.809922 | -1.871608 | -0.530345
TXN00104714,CUST002946,684.71,1.320203311463547e-12,1.320203311463547e-10,LOW,transaction_month | log_amount | is_night_transaction,1.928612 | 1.839454 | 1.509443,transaction_hour | cash_ratio_24h | international_ratio_24h,-4.114839 | -1.796937 | -1.361817
TXN00034331,CUST002198,224.79,2.1759869075653913e-11,2.1759869075653913e-09,LOW,channel_transaction_ratio | transaction_month | channel_transaction_count,1.448603 | 0.978557 | 0.676429,international_ratio_24h | log_amount | transaction_hour,-1.361817 | -0.676417 | -0.635060
TXN00094375,CUST003909,2850.94,2.571742879075388e-12,2.5717428790753883e-10,LOW,log_amount | amount_vs_customer_max | is_night_transaction,5.067497 | 1.826970 | 1.509443,transaction_hour | top_transaction_indicator | amount_vs_customer_average,-4.114839 | -3.591158 | -1.713919
TXN00096794,CUST004628,156.51,2.792834529349924e-10,2.7928345293499237e-08,LOW,transaction_hour | is_night_transaction | international_ratio_24h,4.584609 | 1.509443 | 1.248694,log_amount | channel_transaction_ratio | channel_transaction_count,-1.492015 | -1.409599 | -1.188414
TXN00095246,CUST004329,1670.52,3.0135212624605606e-11,3.013521262460561e-09,LOW,log_amount | is_night_transaction | channel_transaction_ratio,3.857482 | 1.509443 | 0.423123,transaction_hour | international_ratio_24h | transaction_month,-4.114839 | -1.361817 | -0.446526
TXN00062672,CUST001578,58.75,3.41131562897052e-13,3.41131562897052e-11,LOW,transaction_hour | unique_counterparties | customer_total_transactions,0.669858 | 0.370617 | 0.336788,log_amount | international_ratio_24h | is_night_transaction,-3.687347 | -1.361817 | -0.530345
TXN00073611,CUST000633,135.13,3.7887450992091245e-13,3.788745099209125e-11,LOW,unique_counterparties | customer_total_transactions | cash_ratio_24h,0.370617 | 0.336788 | 0.268508,log_amount | international_ratio_24h | transaction_month,-1.822404 | -1.361817 | -0.921553
TXN00098133,CUST000187,177.7,6.967923158492886e-14,6.967923158492886e-12,LOW,transaction_month | cash_ratio_24h | amount_vs_customer_average,1.453584 | 0.268508 | 0.227019,transaction_hour | international_ratio_24h | log_amount,-2.374949 | -1.361817 | -1.206151
TXN00085480,CUST000693,402.83,1.72930504097179e-10,1.72930504097179e-08,LOW,transaction_hour | log_amount | customer_min_transaction,2.409747 | 0.640322 | 0.586681,international_ratio_24h | is_night_transaction | transaction_month,-1.361817 | -0.530345 | -0.446526
TXN00007510,CUST002076,73.21,9.163781908278036e-14,9.163781908278035e-12,LOW,international_ratio_24h | transactions_24h | amount_vs_customer_average,1.248694 | 0.440089 | 0.306747,log_amount | counterparty_diversity_ratio | cash_ratio_24h,-3.196494 | -1.035763 | -0.764215
TXN00068234,CUST000079,1038.15,2.788797640171285e-10,2.788797640171285e-08,LOW,suspicious_transaction_ratio | log_amount | rapid_movement_ratio,5.668660 | 2.780946 | 2.320951,transaction_hour | structuring_customer_count | channel_transaction_ratio,-4.114839 | -2.702815 | -1.481636
TXN00027717,CUST001625,732.84,4.987870090900765e-11,4.987870090900765e-09,LOW,transaction_hour | log_amount | international_ratio_24h,2.844720 | 1.993090 | 1.248694,pep_flag | high_customer_risk | transaction_month,-1.343559 | -1.231971 | -0.921553
TXN00087964,CUST003644,355.96,2.233213079639291e-12,2.233213079639291e-10,LOW,international_ratio_24h | log_amount | unique_counterparties,1.248694 | 0.360911 | 0.310647,channel_transaction_ratio | channel_transaction_count | transaction_month,-1.649410 | -1.188414 | -0.921553
TXN00101011,CUST000294,43.16,4.593136464533983e-12,4.5931364645339836e-10,LOW,transaction_hour | channel_transaction_ratio | transaction_month,1.974775 | 1.432867 | 0.978557,log_amount | counterparty_diversity_ratio | unique_counterparties,-4.372114 | -1.619131 | -0.588910
TXN00041758,CUST000530,2672.7,2.158689024967061e-13,2.158689024967061e-11,LOW,log_amount | amount_vs_customer_max | international_ratio_24h,4.921335 | 1.826970 | 1.248694,top_transaction_indicator | transaction_month | customer_volume_share,-3.591158 | -2.821663 | -2.012404
TXN00071831,CUST002325,1063.95,2.856659056581174e-11,2.856659056581174e-09,LOW,log_amount | international_ratio_24h | cash_ratio_24h,2.836490 | 1.248694 | 0.268508,channel_transaction_ratio | channel_transaction_count | is_night_transaction,-1.538664 | -1.188414 | -0.530345
TXN00047348,CUST004102,278.81,1.717763225377701e-07,1.717763225377701e-05,LOW,transaction_hour | channel_transaction_count | channel_transaction_ratio,5.019582 | 1.693617 | 1.578047,international_ratio_24h | transaction_month | suspicious_transaction_ratio,-1.361817 | -0.446526 | -0.276996
TXN00104303,CUST002875,429.6,2.9229419549149443e-09,2.922941954914944e-07,LOW,transaction_hour | is_night_transaction | international_ratio_24h,4.584609 | 1.509443 | 1.248694,channel_transaction_ratio | channel_transaction_count | unique_counterparties,-1.702147 | -1.357945 | -0.468969
TXN00052347,CUST003288,147.98,1.733125870043678e-16,1.733125870043678e-14,LOW,cash_ratio_24h | transaction_hour | is_weekend,0.268508 | 0.234885 | 0.202354,transaction_month | log_amount | international_ratio_24h,-2.346636 | -1.618113 | -1.361817
TXN00114730,CUST000621,354.68,2.419137558369273e-07,2.419137558369273e-05,LOW,transaction_hour | is_night_transaction | international_ratio_24h,4.584609 | 1.509443 | 1.248694,suspicious_transaction_ratio | transaction_day_of_week | cash_ratio,-0.276996 | -0.249057 | -0.190679
TXN00024719,CUST000110,152.39,3.162369335746933e-10,3.162369335746933e-08,LOW,suspicious_transaction_ratio | rapid_movement_ratio | unique_counterparties,5.404409 | 1.529107 | 1.150233,transaction_month | log_amount | structuring_customer_count,-1.871608 | -1.552045 | -1.472399
TXN00044030,CUST002450,527.42,4.0662334365125516e-14,4.066233436512552e-12,LOW,log_amount | cash_ratio_24h | channel_transaction_ratio,1.249325 | 0.268508 | 0.234490,transaction_hour | transaction_month | international_ratio_24h,-3.679867 | -2.346636 | -1.361817
TXN00026899,CUST000261,349.38,2.0715412298547376e-10,2.0715412298547376e-08,LOW,transaction_hour | is_night_transaction | structuring_ratio,4.149637 | 1.509443 | 0.378470,transaction_month | international_ratio_24h | is_weekend,-1.871608 | -1.361817 | -0.430003
TXN00023166,CUST000011,67.29,5.989195997710386e-10,5.989195997710386e-08,LOW,channel_transaction_count | structuring_ratio | suspicious_transaction_ratio,5.084241 | 4.721225 | 4.546838,structuring_customer_count | log_amount | transaction_hour,-8.854899 | -3.384781 | -3.244894
TXN00064268,CUST002775,429.03,8.315342195687854e-08,8.315342195687855e-06,LOW,transaction_hour | is_night_transaction | transaction_month,4.584609 | 1.509443 | 0.978557,channel_transaction_ratio | channel_transaction_count | suspicious_transaction_ratio,-0.811450 | -0.510289 | -0.276996
TXN00016168,CUST000725,20.28,2.442793844082085e-10,2.4427938440820846e-08,LOW,transaction_hour | is_night_transaction | channel_transaction_ratio,5.454554 | 1.509443 | 1.022558,log_amount | international_ratio_24h | cash_ratio_24h,-6.025548 | -1.361817 | -0.764215
